County,FileNumber,ProviderName,Adult ICU Census,Available Adult ICU,Available Adult ICU%,Total AdultICU Capacity,Pediatric ICU Census,Available Pediatric ICU,Available Pediatric ICU%,Total PediatricICU Capacity
SARASOTA,100070,VENICE REGIONAL BAYFRONT HEALTH,7,25,78.13%,32,0,0,,0
SARASOTA,100087,SARASOTA MEMORIAL HOSPITAL,39,23,37.10%,62,0,0,,0
SARASOTA,100166,DOCTORS HOSPITAL OF SARASOTA,6,10,62.50%,16,0,0,,0
SARASOTA,110004,ENGLEWOOD COMMUNITY HOSPITAL,4,4,50.00%,8,0,0,,0
SARASOTA,110013,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SARASOTA,0,0,,0,0,0,,0
SARASOTA,23960049,PAM SPECIALTY HOSPITAL OF SARASOTA,0,0,,0,0,0,,0
SEMINOLE,100161,CENTRAL FLORIDA REGIONAL HOSPITAL,23,5,17.86%,28,0,0,,0
SEMINOLE,100263,ORLANDO HEALTH SOUTH SEMINOLE HOSPITAL,6,2,25.00%,8,0,0,,0
SEMINOLE,120004,ADVENTHEALTH ALTAMONTE SPRINGS,16,12,42.86%,28,0,0,,0
SEMINOLE,23960115,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF ALTAMONTE SPRINGS,0,0,,0,0,0,,0
SEMINOLE,23960121,OVIEDO MEDICAL CENTER,8,1,11.11%,9,0,0,,0
ST. JOHNS,100219,FLAGLER HOSPITAL,23,21,47.73%,44,0,0,,0
ST. LUCIE,100246,LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,47,7,12.96%,54,5,1,16.67%,6
ST. LUCIE,100260,ST LUCIE MEDICAL CENTER,8,10,55.56%,18,0,0,,0
ST. LUCIE,110022,PORT ST LUCIE HOSPITAL,0,0,,0,0,0,,0
ST. LUCIE,23960108,CLEVELAND CLINIC TRADITION HOSPITAL,7,11,61.11%,18,0,0,,0
SUMTER,23960032,UF HEALTH THE VILLAGES HOSPITAL,26,6,18.75%,32,0,0,,0
SUMTER,23960086,SELECT SPECIALTY HOSPITAL-THE VILLAGES INC,7,1,12.50%,8,0,0,,0
TAYLOR,100106,DOCTORS' MEMORIAL HOSPITAL,0,0,,0,0,0,,0
UNION,100241,LAKE BUTLER HOSPITAL,0,0,,0,0,0,,0
UNION,110183,RECEPTION AND MEDICAL CENTER HOSPITAL,0,0,,0,0,0,,0
VOLUSIA,100014,ADVENTHEALTH NEW SMYRNA BEACH,9,5,35.71%,14,0,0,,0
VOLUSIA,100017,HALIFAX HEALTH MEDICAL CENTER,59,33,35.87%,92,0,5,100.00%,5
VOLUSIA,100045,ADVENTHEALTH DELAND,18,6,25.00%,24,0,0,,0
VOLUSIA,100072,ADVENTHEALTH FISH MEMORIAL,26,3,10.34%,29,0,0,,0
VOLUSIA,100169,ADVENTHEALTH DAYTONA BEACH,29,17,36.96%,46,0,0,,0
VOLUSIA,110016,HALIFAX PSYCHIATRIC CENTER-NORTH,0,0,,0,0,0,,0
VOLUSIA,23960051,HALIFAX HEALTH MEDICAL CENTER- PORT ORANGE,6,2,25.00%,8,0,0,,0
VOLUSIA,23960120,SELECT SPECIALTY HOSPITAL - DAYTONA BEACH,0,0,,0,0,0,,0
VOLUSIA,23960152,HALIFAX HEALTH UF HEALTH MEDICAL CENTER OF DELTONA,1,11,91.67%,12,0,0,,0
WALTON,100081,HEALTHMARK REGIONAL MEDICAL CENTER,1,0,0.00%,1,0,0,,0
WALTON,23960041,ASCENSION SACRED HEART EMERALD COAST,11,11,50.00%,22,0,0,,0
WASHINGTON,100147,NORTHWEST FLORIDA COMMUNITY HOSPITAL,0,0,,0,0,0,,0
