,Provider Number,FYB,FYE,STATUS,CTRL_TYPE,HOSP10_Name,Street_Addr,PO_Box,City,State,Zip_Code,County,Hospital Adult and Peds Staffed Beds,Hospital Adult and Peds Bed Days Available,Hospital Adult and Peds Inpatient Days,Intensive Care Unit Staffed Beds,Intensive Care Unit Bed Days Available,Intensive Care Unit Inpatient Days,Coronary Care Unit Staffed Beds,Coronary Care Unit Bed Days Available,Coronary Care Unit Inpatient Days,Burn ICU Staffed Beds,Burn ICU Bed Days Available,Burn ICU Inpatient Days,Surgical ICU Staffed Beds,Surgical ICU Bed Days Available,Surgical ICU Inpatient Days,Total Staffed Beds,Total Bed Days Available,Total Inpatient Days,ICU Total Staffed Beds,ICU Total Bed Days Available,ICU Total Inpatient Days,ICU Occupancy Rate,Total Bed Occupancy Rate,geometry
841,060001,01-JAN-18,31-DEC-18,As Submitted,2,NORTH COLORADO MEDICAL CENTER,1801 16TH STREET,NaN,GREELEY,CO,80631,WELD,199.0,72635.0,37830.0,16.0,5840.0,3845.0,0.0,0.0,0.0,10.0,3650.0,1332.0,0.0,0.0,0.0,225.0,82125.0,47757.0,26.0,9490.0,5177.0,0.5455216016859853,0.5815159817351598,POINT (-104.7101695 40.4146785)
884,060118,01-JUL-18,30-JUN-19,As Submitted,2,ST ANTHONY SUMMIT MEDICAL CENTER,340 PEAK ONE DR,NaN,FRISCO,CO,80443,SUMMIT,26.0,9490.0,2902.0,8.0,2920.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,12410.0,3870.0,8.0,2920.0,186.0,0.0636986301369863,0.31184528605962936,POINT (-106.0775201 39.5695242)
891,060129,01-JUL-18,30-JUN-19,As Submitted,2,UCHEALTH BROOMFIELD HOSPITAL,11820 DESTINATION DRIVE,NaN,BROOMFIELD,CO,80021,BROOMFIELD,22.0,8030.0,2304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,8030.0,2304.0,0.0,0.0,0.0,0.0,0.28692403486924034,POINT (-105.13 39.93)
893,061300,01-JAN-18,31-DEC-18,As Submitted,11,WEISBROD MEMORIAL COUNTY HOSPITAL,1208 LUTHER,NaN,EADS,CO,81036,KIOWA,25.0,9125.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9125.0,5920.0,0.0,0.0,0.0,0.0,0.6487671232876713,POINT (-102.784619 38.48046)
911,061318,01-JAN-18,31-DEC-18,As Submitted,11,KREMMLING MEMORIAL HOSPITAL DISTRICT,214 S. FOURTH STREET,NaN,KREMMLING,CO,80459,GRAND,21.0,7665.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7665.0,3721.0,0.0,0.0,0.0,0.0,0.4854533594259622,POINT (-106.3905998 40.057001)
931,062015,01-JUN-18,16-APR-19,As Submitted,4,KINDRED HOSPITAL DENVER SOUTH,2525 SOUTH DOWNING ST. 3RD FLOOR,NaN,DENVER,CO,80210,DENVER,28.0,8960.0,4159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,8960.0,4159.0,0.0,0.0,0.0,0.0,0.4641741071428571,POINT (-104.9748195 39.6700386)
964,070017,01-OCT-17,30-SEP-18,As Submitted,2,MIDSTATE MEDICAL CENTER,435 LEWIS AVENUE,NaN,MERIDEN,CT,06451,NaN,143.0,52286.0,32620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,52286.0,34565.0,0.0,0.0,0.0,0.0,0.6610756225375818,POINT (-72.8011451 41.5493063)
978,070035,01-OCT-17,30-SEP-18,As Submitted,2,THE HOSPITAL OF CENTRAL CONNECTICUT,100 GRAND STREET,NaN,NEW BRITAIN,CT,06050-,HARTFORD,222.0,80456.0,44354.0,24.0,8760.0,6978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,89216.0,54688.0,24.0,8760.0,6978.0,0.7965753424657535,0.6129842180774749,POINT (-72.7868053 41.6614776)
979,070036,01-JUL-18,30-JUN-19,As Submitted,10,JOHN DEMPSEY HOSPITAL,263 FARMINGTON AVENUE,NaN,FARMINGTON,CT,06030,HARTFORD,118.0,43070.0,28491.0,20.0,7300.0,3916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,50370.0,33993.0,20.0,7300.0,3916.0,0.5364383561643835,0.6748659916617034,POINT (-72.78993060000001 41.7318134)
994,080001,01-JUL-18,30-JUN-19,As Submitted,2,CHRISTIANA CARE HEALTH SYSTEM,501 W. 14TH STREET,NaN,WILMINGTON,DE,19899,NEW CASTLE,920.0,326230.0,230968.0,73.0,26645.0,21172.0,35.0,9884.0,7810.0,0.0,0.0,0.0,0.0,0.0,0.0,1097.0,387944.0,288636.0,108.0,36529.0,28982.0,0.7933970270196282,0.7440146000453673,POINT (-75.54991680000001 39.7511805)
1037,100026,01-JAN-18,31-DEC-18,As Submitted,4,BAY COUNTY HEALTH SYSTEM LLC,615 NORTH BONITA AVENUE,NaN,PANAMA CITY,FL,32401,BAY,236.0,86140.0,48841.0,57.0,20805.0,10619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,106945.0,59970.0,57.0,20805.0,10619.0,0.5104061523672194,0.5607555285427088,POINT (-85.64862429999999 30.1596644)
1089,100109,01-JAN-18,31-DEC-18,Amended,1,ADVENTHEALTH SEBRING,4200 SUN N LAKE BLVD,NaN,SEBRING,FL,33872-,HIGHLANDS,158.0,57670.0,39707.0,22.0,8030.0,4205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,65700.0,45483.0,22.0,8030.0,4205.0,0.5236612702366127,0.6922831050228311,POINT (-81.5100851 27.5389198)
1124,100180,01-MAY-18,30-APR-19,As Submitted,4,ST. PETERSBURG GENERAL,6500 38TH AVENUE,NaN,SAINT PETERSBURG,FL,33710,PINELLAS,147.0,53655.0,19343.0,21.0,7665.0,3661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,61320.0,24046.0,21.0,7665.0,3661.0,0.4776255707762557,0.3921395955642531,POINT (-82.7260366 27.8056993)
1137,100217,01-JAN-18,31-DEC-18,As Submitted,4,SEBASTIAN RIVER MEDICAL CENTER,13695 US HIGHWAY 1,NaN,SEBASTIAN,FL,32958,INDIAN RIVER,105.0,38325.0,18255.0,16.0,5840.0,2497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,44165.0,20752.0,16.0,5840.0,2497.0,0.42756849315068496,0.4698743348805615,POINT (-80.47 27.82)
1190,100313,01-JUL-18,30-JUN-19,As Submitted,1,SACRED HEART HOSPITAL ON THE GULF,3801 EAST HIGHWAY 98,NaN,PORT SAINT JOE,FL,32456-,GULF,19.0,6935.0,1049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,6935.0,1406.0,0.0,0.0,0.0,0.0,0.20273972602739726,POINT (-85.28771810000001 29.7789091)
1192,100315,01-OCT-17,30-SEP-18,As Submitted,2,VIERA HOSPITAL INC,8745 WICKHAM ROAD,NaN,VIERA,FL,32940,BREVARD,64.0,23360.0,13701.0,20.0,7300.0,3809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,30660.0,17510.0,20.0,7300.0,3809.0,0.5217808219178082,0.571102413568167,POINT (-80.72935560000001 28.2286565)
1196,100320,01-JUL-18,30-JUN-19,As Submitted,4,POINCIANA MEDICAL CENTER,325 CYPRESS PARKWAY,NaN,KISSIMMEE,FL,34758,NaN,70.0,25550.0,14284.0,6.0,2190.0,1533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,27740.0,15817.0,6.0,2190.0,1533.0,0.7,0.5701874549387167,POINT (-81.47619 28.1442377)
1197,100321,01-JUL-18,30-JUN-19,As Submitted,1,ST. VINCENTS MEDICAL CENTER-CLAY,1670 ST. VINCENTS WAY,NaN,MIDDLEBURG,FL,32068,DUVAL,98.0,35770.0,19662.0,8.0,2920.0,2195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,38690.0,22984.0,8.0,2920.0,2195.0,0.7517123287671232,0.594055311449987,POINT (-81.62179999999999 30.485)
1228,102016,01-SEP-18,01-DEC-18,As Submitted,4,SISTER EMMANUEL HOSPITAL,3663 S. MIAMI AVENUE,NaN,MIAMI,FL,33133,MIAMI-DADE,29.0,2639.0,1025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2639.0,1025.0,0.0,0.0,0.0,0.0,0.3884046987495263,POINT (-80.2138033 25.7401423)
1266,104007,01-JUL-18,30-JUN-19,As Submitted,10,NORTHEAST FLORIDA STATE HOSPITAL,HIGHWAY 121 SOUTH,519,MACCLENNY,FL,32063-9777,BAKER,60.0,21900.0,21684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,21900.0,21684.0,0.0,0.0,0.0,0.0,0.9901369863013698,POINT (-82.13597470000001 30.2357102)
1267,104008,01-OCT-17,30-SEP-18,As Submitted,2,JEROME GOLDEN CENTER FOR BAHAVOR,1041 WEST 45TH STREET,NaN,WEST PALM BEACH,FL,33407,NaN,44.0,16060.0,13116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,16060.0,13116.0,0.0,0.0,0.0,0.0,0.8166874221668742,POINT (-80.0668826 26.7541061)
1273,104026,01-JAN-18,31-DEC-18,As Submitted,4,FT. LAUDERDALE HOSPITAL,1601 EAST LAS OLAS BLVD,NaN,FT. LAUDERDALE,FL,33301,BROWARD,182.0,66430.0,32425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,66430.0,32425.0,0.0,0.0,0.0,0.0,0.4881077826283306,POINT (-80.1276664 26.1190355)
1276,104040,01-JUL-18,30-JUN-19,As Submitted,2,CENTERSTONE OF FLORIDA  INC.,2020 26TH AVENUE EAST,NaN,BRADENTON,FL,34208,MANATEE,22.0,8030.0,5954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,13505.0,10416.0,0.0,0.0,0.0,0.0,0.7712699000370233,POINT (-82.539535 27.475909)
1282,104067,01-JUL-18,30-JUN-19,As Submitted,2,ASPIRE HEALTH PARTNERS INC,ASPIRE HEALTHCARE,1800 MERCY DRIVE,ORLANDO,FL,32808,ORANGE,90.0,32850.0,17508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,32850.0,17508.0,0.0,0.0,0.0,0.0,0.5329680365296804,POINT (-81.43495009999999 28.5671666)
1325,110041,01-JUL-18,30-JUN-19,As Submitted,9,HABERSHAM MEDICAL CENTER,HIGHWAY 441 NORTH,37,DEMOREST,GA,30535,HABERSHAM,49.0,17885.0,4934.0,4.0,1460.0,766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,19345.0,6454.0,4.0,1460.0,766.0,0.5246575342465754,0.3336262600155079,POINT (-83.5370886 34.5810438)
1333,110054,01-JUL-18,30-JUN-19,As Submitted,2,FLOYD MEDICAL CENTER,TURNER MCCALL BLVD,233,ROME,GA,30162,FLOYD,201.0,73365.0,52964.0,26.0,9490.0,7662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,82855.0,69725.0,26.0,9490.0,7662.0,0.8073761854583772,0.8415303844064933,POINT (-85.1784639 34.2592219)
1353,110101,01-JUL-18,30-JUN-19,As Submitted,9,COOK MEDICAL CENTER,706 N PARRISH AVE,677,ADEL,GA,31620-1511,COOK,33.0,12045.0,528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,12045.0,1069.0,0.0,0.0,0.0,0.0,0.0887505188875052,POINT (-83.424798 31.1445611)
1396,110209,01-JAN-18,31-DEC-18,As Submitted,4,TURNING POINT HOSPITAL,319 EAST BYPASS,NaN,MOULTREE,GA,31768,COLQUITT,33.0,12045.0,12565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,12045.0,12565.0,0.0,0.0,0.0,0.0,1.0431714404317145,POINT (-83.76202910000001 31.1845228)
1411,111304,01-JUL-18,30-JUN-19,As Submitted,9,MORGAN MEDICAL CENTER,1740 LIONS CLUB ROAD,860,MADISON,GA,30650-,MORGAN,25.0,9125.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9125.0,5066.0,0.0,0.0,0.0,0.0,0.5551780821917808,POINT (-83.4720307 33.5693662)
1414,111308,01-JUL-18,30-JUN-19,As Submitted,8,CLINCH MEMORIAL HOSPITAL,1050 VALDOSTA HIGHWAY,516,HOMERVILLE,GA,31634,CLINCH,15.0,5475.0,444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5475.0,2562.0,0.0,0.0,0.0,0.0,0.46794520547945206,POINT (-82.7642622 31.0340628)
1419,111313,01-OCT-17,30-SEP-18,As Submitted,9,PUTNAM GENERAL HOSPITAL,101 LAKE OCONEE PARKWAY,4330,EATONTON,GA,31024-,PUTNAM,25.0,9125.0,1301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9125.0,3540.0,0.0,0.0,0.0,0.0,0.38794520547945205,POINT (-83.26534700000001 33.4402679991319)
1428,111323,01-JAN-18,31-DEC-18,As Submitted,4,TATTNALL HOSPITAL COMPANY  LLC,ROUTE 1 BOX 121,NaN,REIDSVILLE,GA,30453,TATTNALL,25.0,9125.0,2396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9125.0,2649.0,0.0,0.0,0.0,0.0,0.2903013698630137,POINT (-82.1179585 32.0868285)
1441,111336,01-JAN-18,31-DEC-18,As Submitted,4,MOUNTAIN LAKES MEDICAL CENTER,162 LEGACY POINT,NaN,CLAYTON,GA,30525,RABUN,25.0,9125.0,1126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9125.0,2169.0,0.0,0.0,0.0,0.0,0.2376986301369863,POINT (-83.393559 34.892413)
1454,112015,01-JUL-18,30-SEP-18,Settled,4,SOUTHERN CRESCENT HOSPITAL,11 UPPER RIVERDALE RD SW 6TH FLOOR,NaN,RIVERDALE,GA,30274,CLAYTON,30.0,2760.0,1365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2760.0,1365.0,0.0,0.0,0.0,0.0,0.4945652173913043,POINT (-84.38896210000001 33.5788475)
1455,112016,01-NOV-17,31-OCT-18,As Submitted,4,REGENCY HOSPITAL OF MACON  LLC,700 SPRING STREET,NaN,MACON,GA,31201,BIBB,60.0,21900.0,16144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,21900.0,16144.0,0.0,0.0,0.0,0.0,0.7371689497716895,POINT (-83.6370263 32.8351074)
1500,121303,01-JUL-18,30-JUN-19,As Submitted,2,MOLOKAI GENERAL HOSPITAL,280 HOME OLU,408,KAUNAKAKAI,HI,96748,MAUI,15.0,5475.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5475.0,229.0,0.0,0.0,0.0,0.0,0.04182648401826484,POINT (-157.0175847 21.0939536)
1502,121305,01-JAN-18,31-DEC-18,As Submitted,10,LANAI COMMUNITY HOSPITAL,628 7TH STREET,797,LANAI,HI,96763,MAUI,4.0,1460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1460.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-156.9171559 20.8258877)
1515,130013,01-JUL-18,30-JUN-19,As Submitted,1,ST. ALPHONSUS MEDICAL CENTER - NAMP,1512 12TH AVE ROAD,NaN,NAMPA,ID,83686,CANYON,74.0,27010.0,15609.0,18.0,6570.0,3589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,35040.0,21764.0,18.0,6570.0,3589.0,0.5462709284627093,0.6211187214611872,POINT (-116.5716944 43.553623)
1526,130072,25-JAN-18,22-DEC-18,As Submitted,4,SAINT ALPHONSUS NEIGHBORDHOOD HOSP,1510 12TH AVENUE ROAD  SUITE 100,NaN,NAMPA,ID,83651,CANYON,8.0,2656.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2656.0,243.0,0.0,0.0,0.0,0.0,0.09149096385542169,POINT (-116.5704936 43.5540504)
1575,140018,01-JUL-18,30-JUN-19,As Submitted,2,MOUNT SINAI HOSPITAL MEDICAL CENTER,15TH STREET & CALIFORNIA AVE,NaN,CHICAGO,IL,60608-,COOK,182.0,66430.0,32544.0,17.0,6205.0,4380.0,12.0,4380.0,3802.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,86140.0,48233.0,29.0,10585.0,8182.0,0.7729806329711857,0.5599373113536104,POINT (-87.694711 41.861159)
1619,140118,01-JAN-18,31-DEC-18,Amended,4,METROSOUTH MEDICAL CENTER,12935 SOUTH GREGORY STREET,NaN,BLUE ISLAND,IL,60406,COOK,264.0,96360.0,26030.0,36.0,13140.0,1321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,109500.0,30828.0,36.0,13140.0,1321.0,0.10053272450532724,0.2815342465753425,POINT (-87.677971 41.657697)
1675,140240,01-JUL-18,27-JAN-19,As Submitted,4,WESTLAKE COMMUNITY HOSPITAL,1225 SUPERIOR STREET,NaN,MELROSE PARK,IL,60160,COOK,109.0,22999.0,8705.0,12.0,2532.0,955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,25531.0,10660.0,12.0,2532.0,955.0,0.37717219589257506,0.4175316282166778,POINT (-87.84868299999999 41.8928987)
1707,141310,01-OCT-17,30-SEP-18,Amended,2,MENDOTA COMMUNITY HOSPITAL,1401 EAST 12TH ST,NaN,MENDOTA,IL,61342-9216,LA SALLE,21.0,7665.0,1157.0,4.0,1460.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9125.0,2407.0,4.0,1460.0,36.0,0.024657534246575342,0.2637808219178082,POINT (-89.08775580000001 41.5533103)
1724,141328,01-APR-18,31-MAR-19,As Submitted,2,HARDIN COUNTY GENERAL HOSPITAL,6 FERRELL ROAD,2467,ROSICLARE,IL,62982,HARDIN,25.0,9125.0,1417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9125.0,2592.0,0.0,0.0,0.0,0.0,0.28405479452054794,POINT (-88.3516272 37.4221465)
1755,142014,01-SEP-18,14-MAR-19,As Submitted,4,VIBRA HOSPITAL OF SPRINGFIELD,701 NORTH WALNUT STREET,NaN,SPRINGFIELD,IL,62702,SANGAMON,50.0,9800.0,1814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,9800.0,1814.0,0.0,0.0,0.0,0.0,0.18510204081632653,POINT (-89.66474980000001 39.8094464)
1817,150064,01-OCT-17,30-SEP-18,As Submitted,2,FAYETTE REGIONAL HEALTH SYSTEM,1941 VIRGINIA AVE,NaN,CONNERSVILLE,IN,47331,FAYETTE,25.0,9125.0,3008.0,20.0,7300.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,16425.0,3545.0,20.0,7300.0,204.0,0.027945205479452055,0.2158295281582953,POINT (-85.13266410000001 39.6563667)
1824,150082,01-OCT-17,30-SEP-18,As Submitted,2,DEACONESS HOSPITAL,600 MARY STREET,NaN,EVANSVILLE,IN,47747-,VANDERBURGH,448.0,149506.0,104529.0,67.0,24455.0,17684.0,16.0,5840.0,4208.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0,179801.0,126421.0,83.0,30295.0,21892.0,0.7226274962865159,0.7031162229353564,POINT (-87.5707668 37.9837274)
1859,150167,01-JAN-18,31-DEC-18,As Submitted,4,ORTHOPAEDIC HOSPT.AT PARKVIEW,11119 PARKVIEW PLAZA DRIVE,NaN,FORT WAYNE,IN,46845-1705,ALLEN,37.0,13505.0,5407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,13505.0,5407.0,0.0,0.0,0.0,0.0,0.4003702332469456,POINT (-85.10158629999999 41.1876997)
1865,150176,01-JAN-19,07-APR-19,As Submitted,4,KENTUCKIANA MEDICAL CENTER,4601 MEDICAL PLAZA WAY,NaN,CLARKSVILLE,IN,47129,CLARK,46.0,16790.0,7445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,16790.0,7445.0,0.0,0.0,0.0,0.0,0.44341870160810004,POINT (-85.7524047 38.3331853)
1873,150184,24-AUG-18,15-JUN-19,As Submitted,1,INDIANA NEIGHBORHOOD HOSPITAL LLC,9613 E. US HIGHWAY 36,NaN,AVON,IN,46123,HENDRICKS,20.0,11540.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11540.0,365.0,0.0,0.0,0.0,0.0,0.03162911611785095,POINT (-86.3538034 39.7627852)
1884,151310,01-JAN-18,31-DEC-18,Amended,2,PARKVIEW WABASH HOSPITAL  INC.,10 JOHN KISSINGER DR,NaN,WABASH,IN,46992,WABASH,18.0,7809.0,2599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,7809.0,2680.0,0.0,0.0,0.0,0.0,0.3431937508003586,POINT (-85.8240859 40.8211147)
1904,151331,01-JAN-18,31-DEC-18,Amended,9,HARRISON COUNTY HOSPITAL,245 ATWOOD ST.,NaN,CORYDON,IN,47112-,HARRISON,21.0,7665.0,4388.0,4.0,1460.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9125.0,5645.0,4.0,1460.0,324.0,0.2219178082191781,0.6186301369863013,POINT (-86.1234367 38.2044211)
1918,152024,01-FEB-18,31-JAN-19,As Submitted,4,RH OF NORTHWEST INDIANA  LLC,4321 FIR STREET  4TH FLOOR,NaN,EAST CHICAGO,IN,46312,LAKE,61.0,22265.0,14628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,22265.0,14628.0,0.0,0.0,0.0,0.0,0.6569952840781496,POINT (-87.4475437 41.6348372)
1923,153025,01-JAN-18,31-DEC-18,As Submitted,5,ENCOMPASS HEALTH DEACONESS REHABILIT,4100 COVERT AVE,NaN,EVANSVILLE,IN,47714,VANDERBURGH,103.0,37595.0,29698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,37595.0,29698.0,0.0,0.0,0.0,0.0,0.7899454714722702,POINT (-87.50063 37.955948)
1939,154019,01-JUL-18,30-JUN-19,As Submitted,10,MADISON STATE HOSPITAL,711 GREEN ROAD,NaN,MADISON,IN,47250-,JEFFERSON,150.0,54750.0,39915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,54750.0,39915.0,0.0,0.0,0.0,0.0,0.729041095890411,POINT (-85.40208389999999 38.7467021)
1955,154057,01-JAN-18,31-DEC-18,As Submitted,4,OPTIONS BEHAVIORAL HEALTH SYSTEM,5602 CAITO DRIVE,NaN,INDIANAPOLIS,IN,46226,MARION,66.0,23996.0,15557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,23996.0,15557.0,0.0,0.0,0.0,0.0,0.648316386064344,POINT (-86.0437984 39.8557946)
2020,161321,01-MAY-19,30-JUN-19,As Submitted,2,AVERA MERRILL PIONEER HOSPITAL,1100 S 10TH AVE,NaN,ROCK RAPIDS,IA,51246,LYON,14.0,5110.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5110.0,368.0,0.0,0.0,0.0,0.0,0.07201565557729941,POINT (-96.1757132 43.4213815)
2031,161332,01-JUL-18,30-JUN-19,As Submitted,2,MANNING REGIONAL HEALTHCARE CENTER,410 MAIN STREET,NaN,MANNING,IA,51455,CARROLL,17.0,6205.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6205.0,683.0,0.0,0.0,0.0,0.0,0.11007252215954876,POINT (-95.0754359 41.9045113)
2032,161333,01-JUL-18,30-JUN-19,As Submitted,9,STORY COUNTY HOSPITAL,630 6TH STREET,NaN,NEVADA,IA,50201,STORY,17.0,6205.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6205.0,2327.0,0.0,0.0,0.0,0.0,0.3750201450443191,POINT (-93.45291109999999 42.0170496)
2045,161346,01-JUL-18,30-JUN-19,As Submitted,2,SIOUX CENTER HEALTH,605 SOUTH MAIN,NaN,SIOUX CENTER,IA,51250-,SIOUX,19.0,6935.0,1191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,6935.0,2086.0,0.0,0.0,0.0,0.0,0.30079307858687815,POINT (-96.1760973 43.0721777)
2096,170016,01-JUL-18,30-JUN-19,As Submitted,4,ST.FRANCIS HEALTH CENTER,1700 SOUTHWEST SEVENTH STREET,NaN,TOPEKA,KS,66606-1690,SHAWNEE,205.0,74825.0,21128.0,16.0,5840.0,4222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,83220.0,27646.0,16.0,5840.0,4222.0,0.7229452054794521,0.3322037971641432,POINT (-95.69610249999999 39.0560566)
2104,170058,01-JUL-18,30-JAN-19,As Submitted,1,MERCY HOSPITAL - FORT SCOTT,401 WOODLAND HILLS BOULEVARD,NaN,FORT SCOTT,KS,66701-8797,BOURBON,45.0,9630.0,860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,9630.0,1155.0,0.0,0.0,0.0,0.0,0.11993769470404984,POINT (-94.7116128 37.8061853)
2120,170142,01-APR-18,31-MAR-19,As Submitted,1,MERCY REGIONAL HEALTH CENTER,1105 SUNSET AVENUE,NaN,MANHATTAN,KS,66502,RILEY,78.0,28470.0,11404.0,8.0,2920.0,677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,31390.0,14241.0,8.0,2920.0,677.0,0.23184931506849316,0.4536795157693533,POINT (-96.59043490000001 39.1917486)
2149,171302,01-OCT-17,30-SEP-18,As Submitted,4,CAH ACQUISITION COMPANY #2 LLC,800 BARKER DRIVE,NaN,OSWEGO,KS,67356,LABETTE,12.0,4380.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4380.0,991.0,0.0,0.0,0.0,0.0,0.22625570776255707,POINT (-95.111086 37.1592168)
