HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Greenville, SC","2,217",282,798,"1,507",41,161,"743,619","153,533","297,448","62,349","13,509","4,157",521%,276%,188%,"2,078",260%,138%,94%,"1,355",170%,90%,61%,901,2198%,560%,320%,450,1098%,280%,160%,294,717%,183%,104%
"Gulfport, MS",609,80,287,448,40,60,"159,671","28,559","63,868","13,220","2,821",881,307%,197%,145%,441,154%,98%,72%,287,100%,64%,47%,188,470%,313%,235%,94,235%,157%,118%,61,153%,102%,76%
"Hackensack, NJ","3,819",175,"1,057","2,438",98,137,"1,048,868","200,075","419,547","87,317","18,757","5,821",551%,239%,152%,"2,911",275%,119%,76%,"1,898",180%,78%,50%,"1,250",1276%,912%,714%,625,638%,456%,357%,408,416%,298%,233%
"Harlingen, TX","1,145",120,536,840,44,82,"418,633","76,061","167,453","34,706","7,418","2,314",432%,275%,202%,"1,157",216%,138%,101%,754,141%,90%,66%,495,1125%,604%,413%,247,561%,301%,206%,161,366%,196%,134%
"Harrisburg, PA","2,426",211,929,"1,677",61,136,"825,408","183,199","330,163","69,693","15,226","4,646",500%,277%,192%,"2,323",250%,139%,96%,"1,515",163%,90%,62%,"1,015",1664%,746%,481%,508,833%,374%,241%,331,543%,243%,157%
"Hartford, CT","2,855",323,751,"1,803",115,219,"1,196,337","245,503","478,535","100,251","21,706","6,683",890%,371%,234%,"3,342",445%,185%,117%,"2,179",290%,121%,76%,"1,447",1258%,661%,448%,724,630%,331%,224%,472,410%,216%,146%
"Hattiesburg, MS","1,546",85,504,"1,025",30,57,"240,419","46,076","96,168","20,023","4,303","1,335",265%,130%,86%,667,132%,65%,43%,435,86%,42%,28%,287,957%,504%,338%,143,477%,251%,168%,94,313%,165%,111%
"Hickory, NC",603,64,253,428,25,45,"229,268","51,364","91,707","19,376","4,238","1,292",511%,302%,214%,646,255%,151%,107%,421,166%,98%,70%,283,1132%,629%,442%,141,564%,313%,220%,92,368%,204%,144%
"Hinsdale, IL","1,041",172,402,721,89,130,"385,733","67,856","154,293","31,894","6,795","2,126",529%,295%,204%,"1,063",264%,147%,102%,693,172%,96%,67%,453,509%,348%,263%,226,254%,174%,131%,148,166%,114%,86%
"Honolulu, HI","2,623",219,795,"1,709",73,146,"1,114,023","238,126","445,609","93,714","20,385","6,248",786%,366%,238%,"3,124",393%,183%,119%,"2,037",256%,119%,78%,"1,359",1862%,931%,621%,680,932%,466%,311%,443,607%,303%,202%
"Houma, LA",707,65,399,553,32,49,"206,176","37,957","82,470","17,112","3,662","1,141",286%,206%,161%,570,143%,103%,81%,372,93%,67%,53%,244,763%,498%,375%,122,381%,249%,188%,80,250%,163%,123%
"Houston, TX","14,062","1,790","5,130","9,596",652,"1,221","5,278,689","769,270","2,111,476","430,413","90,110","28,694",559%,299%,204%,"14,347",280%,150%,102%,"9,357",182%,98%,67%,"6,007",921%,492%,336%,"3,004",461%,246%,168%,"1,959",300%,160%,109%
"Hudson, FL","1,188",160,329,758,45,102,"351,228","112,737","140,491","30,977","7,107","2,065",628%,272%,174%,"1,033",314%,136%,87%,673,205%,89%,57%,474,1053%,465%,296%,237,527%,232%,148%,154,342%,151%,96%
"Huntington, WV","1,561",162,382,971,64,113,"276,340","63,341","110,536","23,409","5,134","1,561",409%,161%,100%,780,204%,80%,50%,509,133%,52%,33%,342,534%,303%,211%,171,267%,151%,106%,112,175%,99%,69%
"Huntsville, AL","1,804",248,569,"1,187",59,154,"506,155","100,153","202,462","42,274","9,117","2,818",495%,237%,156%,"1,409",248%,119%,78%,919,162%,77%,51%,608,1031%,395%,245%,304,515%,197%,123%,198,336%,129%,80%
"Idaho Falls, ID",492,44,269,381,24,34,"169,856","28,437","67,942","13,990","2,966",933,347%,245%,190%,466,173%,122%,95%,304,113%,80%,62%,198,825%,582%,450%,99,413%,291%,225%,64,267%,188%,145%
"Indianapolis, IN","7,441","1,081","3,350","5,396",403,742,"2,249,394","412,838","899,758","186,642","39,933","12,443",371%,231%,167%,"6,221",186%,115%,84%,"4,057",121%,75%,55%,"2,662",661%,359%,246%,"1,331",330%,179%,123%,868,215%,117%,80%
"Iowa City, IA","1,414",147,538,976,64,106,"279,218","53,012","111,687","23,235","4,989","1,549",288%,159%,110%,774,144%,79%,55%,505,94%,52%,36%,333,520%,314%,227%,166,259%,157%,113%,108,169%,102%,73%
"Jackson, MS","4,425",406,"1,964","3,194",149,277,"792,834","152,349","317,134","66,045","14,198","4,403",224%,138%,100%,"2,202",112%,69%,50%,"1,436",73%,45%,32%,947,636%,342%,233%,473,317%,171%,117%,309,207%,112%,76%
"Jackson, TN","1,063",115,423,743,57,86,"256,100","58,414","102,440","21,683","4,752","1,446",342%,195%,136%,723,171%,97%,68%,471,111%,63%,44%,317,556%,369%,276%,158,277%,184%,137%,103,181%,120%,90%
"Jacksonville, FL","4,947",618,"1,625","3,286",183,400,"1,340,118","254,567","536,047","111,522","23,946","7,435",458%,226%,150%,"3,717",229%,113%,75%,"2,424",149%,74%,49%,"1,596",872%,399%,258%,798,436%,200%,129%,521,285%,130%,84%
"Johnson City, TN",956,94,342,649,39,66,"235,522","51,395","94,209","19,853","4,329","1,324",387%,204%,138%,662,194%,102%,69%,432,126%,67%,45%,289,741%,438%,307%,144,369%,218%,153%,94,241%,142%,100%
"Johnstown, PA",741,44,426,584,25,35,"170,816","45,254","68,326","14,702","3,283",980,230%,168%,132%,490,115%,84%,66%,320,75%,55%,43%,219,876%,626%,498%,109,436%,311%,248%,71,284%,203%,161%
"Joliet, IL","1,376",149,662,"1,019",53,101,"516,812","90,546","206,725","42,719","9,097","2,848",430%,279%,207%,"1,424",215%,140%,103%,929,140%,91%,68%,606,1143%,600%,407%,303,572%,300%,203%,198,374%,196%,133%
"Jonesboro, AR",975,76,403,689,23,50,"185,969","38,518","74,388","15,597","3,381","1,040",258%,151%,107%,520,129%,75%,53%,339,84%,49%,35%,225,978%,450%,296%,113,491%,226%,149%,74,322%,148%,97%
"Joplin, MO","1,045",124,507,776,71,97,"282,798","63,826","113,119","23,918","5,236","1,595",315%,206%,153%,797,157%,103%,76%,520,103%,67%,50%,349,492%,360%,281%,175,246%,180%,141%,114,161%,118%,92%
"Kalamazoo, MI","1,462",139,681,"1,072",21,80,"520,196","104,986","208,078","43,524","9,407","2,902",426%,271%,198%,"1,451",213%,135%,99%,946,139%,88%,65%,627,2986%,784%,451%,314,1495%,393%,226%,204,971%,255%,147%
"Kansas City, MO","6,736",795,"2,646","4,691",286,541,"1,950,902","362,250","780,361","162,034","34,710","10,802",408%,230%,160%,"5,401",204%,115%,80%,"3,522",133%,75%,52%,"2,314",809%,428%,291%,"1,157",405%,214%,146%,755,264%,140%,95%
"Kettering, OH",923,138,412,667,42,90,"334,281","73,199","133,712","28,187","6,148","1,879",456%,282%,204%,940,228%,141%,102%,613,149%,92%,66%,410,976%,456%,297%,205,488%,228%,149%,134,319%,149%,97%
"Kingsport, TN","1,485",185,668,"1,077",75,130,"375,852","93,948","150,341","32,135","7,123","2,142",321%,199%,144%,"1,071",160%,99%,72%,699,105%,65%,47%,475,633%,365%,257%,237,316%,182%,128%,155,207%,119%,84%
"Knoxville, TN","3,193",299,"1,198","2,195",74,186,"1,108,058","250,729","443,223","93,740","20,526","6,249",522%,285%,196%,"3,125",261%,142%,98%,"2,038",170%,93%,64%,"1,368",1849%,735%,458%,684,924%,368%,229%,446,603%,240%,149%
"La Crosse, WI",650,78,286,468,44,61,"279,590","60,747","111,836","23,557","5,134","1,570",549%,335%,242%,785,274%,168%,121%,512,179%,109%,79%,342,777%,561%,438%,171,389%,280%,219%,112,255%,184%,144%
"Lafayette, IN",457,34,193,325,14,24,"199,535","31,824","79,814","16,374","3,456","1,092",566%,336%,239%,546,283%,168%,119%,356,184%,110%,78%,230,1643%,958%,676%,115,821%,479%,338%,75,536%,313%,221%
"Lafayette, LA","1,716",188,700,"1,208",87,137,"477,559","85,840","191,024","39,556","8,445","2,637",377%,218%,154%,"1,319",188%,109%,77%,860,123%,71%,50%,563,647%,411%,299%,282,324%,206%,150%,184,211%,134%,98%
"Lake Charles, LA",830,81,424,627,44,62,"210,604","37,934","84,242","17,447","3,726","1,163",274%,185%,140%,582,137%,93%,70%,379,89%,60%,46%,248,564%,400%,306%,124,282%,200%,153%,81,184%,131%,100%
"Lakeland, FL","1,046",103,382,714,57,80,"317,384","73,118","126,954","26,900","5,903","1,793",469%,251%,171%,897,235%,126%,86%,585,153%,82%,56%,394,691%,493%,383%,197,346%,246%,191%,128,225%,160%,124%
"Lancaster, PA","1,081",98,468,774,40,69,"528,715","112,509","211,486","44,458","9,665","2,964",633%,383%,274%,"1,482",317%,191%,137%,966,206%,125%,89%,644,1610%,933%,657%,322,805%,467%,329%,210,525%,304%,214%
"Lansing, MI","1,444",240,632,"1,038",115,177,"561,636","102,892","224,654","46,594","9,967","3,106",491%,299%,215%,"1,553",246%,150%,108%,"1,013",160%,98%,70%,664,577%,375%,277%,332,289%,188%,138%,217,189%,123%,90%
"Las Vegas, NV","4,165",761,"1,088","2,626",162,462,"1,704,994","321,669","681,998","141,803","30,426","9,454",869%,360%,227%,"4,727",434%,180%,113%,"3,083",283%,117%,74%,"2,028",1252%,439%,266%,"1,014",626%,219%,133%,661,408%,143%,87%
"Lawton, OK",733,76,346,539,32,54,"152,745","28,422","61,098","12,689","2,719",846,245%,157%,115%,423,122%,78%,58%,276,80%,51%,38%,181,566%,335%,238%,91,284%,169%,120%,59,184%,109%,78%
"Lebanon, NH",939,105,333,636,56,80,"320,499","77,792","128,200","27,314","6,032","1,821",547%,286%,194%,910,273%,143%,97%,594,178%,93%,63%,402,718%,503%,383%,201,359%,251%,191%,131,234%,164%,125%
"Lexington, KY","5,045",579,"2,073","3,559",172,375,"1,192,842","231,348","477,137","99,447","21,400","6,630",320%,186%,131%,"3,315",160%,93%,66%,"2,162",104%,61%,43%,"1,427",830%,381%,246%,713,415%,190%,123%,465,270%,124%,80%
"Lincoln, NE","2,047",116,"1,016","1,532",33,75,"459,005","93,970","183,602","38,455","8,324","2,564",252%,167%,125%,"1,282",126%,84%,63%,836,82%,55%,41%,555,1682%,740%,478%,277,839%,369%,239%,181,548%,241%,156%
"Little Rock, AR","4,854",520,"2,174","3,514",177,348,"1,212,482","258,840","484,993","101,985","22,180","6,799",313%,193%,140%,"3,400",156%,97%,70%,"2,217",102%,63%,46%,"1,479",836%,425%,284%,739,418%,212%,142%,482,272%,139%,93%
"Longview, TX",224,45,98,161,21,33,"161,316","33,367","64,526","13,528","2,932",902,920%,560%,403%,451,460%,280%,201%,294,300%,183%,131%,195,929%,591%,433%,98,467%,297%,218%,64,305%,194%,142%
"Los Angeles, CA","19,492","2,415","6,594","13,043",942,"1,679","7,874,162","1,268,093","3,149,665","646,624","136,592","43,108",654%,331%,221%,"21,554",327%,165%,111%,"14,057",213%,108%,72%,"9,106",967%,542%,377%,"4,553",483%,271%,189%,"2,969",315%,177%,123%
"Louisville, KY","4,162",506,"1,700","2,931",165,335,"1,385,741","271,762","554,296","115,643","24,915","7,710",454%,263%,185%,"3,855",227%,132%,93%,"2,514",148%,86%,60%,"1,661",1007%,496%,328%,830,503%,248%,164%,542,328%,162%,107%
"Lubbock, TX","1,811",298,922,"1,367",85,191,"546,461","91,980","218,584","45,026","9,551","3,002",326%,220%,166%,"1,501",163%,110%,83%,979,106%,72%,54%,637,749%,334%,214%,318,374%,166%,107%,208,245%,109%,70%
"Lynchburg, VA","1,174",55,309,741,20,37,"217,344","49,862","86,938","18,413","4,038","1,228",397%,166%,105%,614,199%,83%,52%,400,129%,54%,34%,269,1345%,727%,489%,135,675%,365%,245%,88,440%,238%,160%
"Macon, GA","2,295",240,865,"1,580",57,149,"568,689","111,226","227,476","47,447","10,220","3,163",366%,200%,138%,"1,582",183%,100%,69%,"1,031",119%,65%,45%,681,1195%,457%,284%,341,598%,229%,142%,222,389%,149%,93%
"Madison, WI","2,443",267,838,"1,640",121,194,"886,932","165,619","354,773","73,700","15,797","4,913",586%,300%,201%,"2,457",293%,150%,101%,"1,602",191%,98%,66%,"1,053",870%,543%,394%,527,436%,272%,197%,343,283%,177%,128%
"Manchester, NH","1,603",137,582,"1,092",53,95,"714,679","143,594","285,872","59,772","12,912","3,985",685%,365%,249%,"1,992",342%,182%,124%,"1,299",223%,119%,81%,861,1625%,906%,628%,430,811%,453%,314%,281,530%,296%,205%
"Manhattan, NY","14,834","1,427","3,059","8,946",616,"1,021","4,173,437","725,342","1,669,375","344,744","73,357","22,983",751%,257%,155%,"11,491",376%,128%,77%,"7,494",245%,84%,51%,"4,890",794%,479%,343%,"2,445",397%,239%,171%,"1,595",259%,156%,112%
"Marquette, MI",601,47,276,438,18,32,"159,278","39,415","63,711","13,603","3,011",907,329%,207%,151%,453,164%,103%,75%,296,107%,68%,49%,201,1117%,628%,428%,100,556%,313%,213%,65,361%,203%,138%
"Marshfield, WI",706,68,281,494,34,51,"295,582","70,770","118,233","25,154","5,546","1,677",597%,339%,238%,838,298%,170%,119%,547,195%,111%,77%,370,1088%,725%,544%,185,544%,363%,272%,121,356%,237%,178%
"Mason City, IA",470,18,239,354,6,12,"100,326","26,837","40,130","8,644","1,933",576,241%,163%,123%,288,121%,81%,61%,188,79%,53%,40%,129,2150%,1075%,717%,64,1067%,533%,356%,42,700%,350%,233%
"McAllen, TX","1,938",350,849,"1,394",133,241,"486,579","74,033","194,632","39,793","8,363","2,653",312%,190%,137%,"1,326",156%,95%,68%,865,102%,62%,45%,558,420%,232%,159%,279,210%,116%,80%,182,137%,76%,52%
"Medford, OR",855,72,369,612,25,49,"351,154","95,565","140,462","30,319","6,796","2,021",548%,330%,236%,"1,011",274%,165%,118%,659,179%,108%,77%,453,1812%,924%,629%,227,908%,463%,315%,148,592%,302%,206%
"Melrose Park, IL","2,902",334,"1,122","2,012",137,236,"1,031,510","185,204","412,604","85,433","18,238","5,696",508%,283%,196%,"2,848",254%,142%,98%,"1,857",166%,92%,64%,"1,216",888%,515%,364%,608,444%,258%,182%,396,289%,168%,119%
"Memphis, TN","5,054",543,"2,045","3,549",139,341,"1,366,198","246,308","546,479","113,191","24,174","7,546",369%,213%,149%,"3,773",184%,106%,75%,"2,461",120%,69%,49%,"1,612",1160%,473%,297%,806,580%,236%,148%,526,378%,154%,97%
"Meridian, MS","1,117",57,445,781,19,38,"148,060","32,340","59,224","12,481","2,722",832,187%,107%,74%,416,93%,53%,37%,271,61%,35%,24%,181,953%,476%,318%,91,479%,239%,160%,59,311%,155%,104%
"Mesa, AZ","2,091",291,648,"1,370",108,200,"1,135,619","212,738","454,248","94,391","20,238","6,293",971%,459%,301%,"3,146",485%,230%,150%,"2,052",317%,150%,98%,"1,349",1249%,675%,464%,675,625%,338%,232%,440,407%,220%,151%
"Metairie, LA",857,111,406,631,44,78,"366,346","76,217","146,538","30,738","6,666","2,049",505%,325%,239%,"1,025",252%,162%,120%,668,165%,106%,78%,444,1009%,569%,400%,222,505%,285%,200%,145,330%,186%,131%
"Miami, FL","9,139",981,"2,952","6,045",280,630,"2,741,481","526,396","1,096,592","228,356","49,088","15,224",516%,252%,167%,"7,612",258%,126%,83%,"4,964",168%,82%,54%,"3,273",1169%,520%,334%,"1,636",584%,260%,167%,"1,067",381%,169%,109%
"Milwaukee, WI","5,263",818,"2,207","3,735",323,570,"2,079,205","380,644","831,682","172,484","36,894","11,499",521%,308%,218%,"5,749",260%,154%,109%,"3,750",170%,100%,71%,"2,460",762%,432%,301%,"1,230",381%,216%,150%,802,248%,141%,98%
"Minneapolis, MN","6,954",612,"2,458","4,706",238,425,"2,570,355","478,271","1,028,142","213,521","45,749","14,235",579%,302%,205%,"7,117",290%,151%,102%,"4,642",189%,99%,67%,"3,050",1282%,718%,498%,"1,525",641%,359%,249%,995,418%,234%,163%
"Minot, ND",916,19,384,650,9,14,"112,434","19,303","44,974","9,279","1,972",619,161%,95%,68%,309,80%,48%,34%,202,53%,31%,22%,131,1456%,936%,689%,66,733%,471%,347%,43,478%,307%,226%
"Missoula, MT","1,002",79,455,729,39,59,"315,091","74,302","126,036","26,770","5,891","1,785",392%,245%,178%,892,196%,122%,89%,582,128%,80%,58%,393,1008%,666%,497%,196,503%,332%,248%,128,328%,217%,162%
"Mobile, AL","2,066",282,695,"1,380",101,191,"648,957","135,227","259,583","54,459","11,812","3,631",522%,263%,176%,"1,815",261%,132%,88%,"1,184",170%,86%,57%,787,779%,412%,279%,394,390%,206%,140%,257,254%,135%,91%
"Modesto, CA","1,478",118,467,972,44,81,"680,976","119,559","272,390","56,297","11,991","3,753",804%,386%,254%,"1,877",402%,193%,127%,"1,224",262%,126%,83%,799,1816%,986%,677%,400,909%,494%,339%,261,593%,322%,221%
"Monroe, LA","1,064",102,561,813,36,69,"204,787","41,070","81,915","17,125","3,698","1,142",204%,140%,107%,571,102%,70%,54%,372,66%,46%,35%,247,686%,358%,242%,123,342%,178%,121%,80,222%,116%,78%
"Montgomery, AL","1,225",131,461,843,61,96,"360,863","68,023","144,345","30,010","6,439","2,001",434%,237%,163%,"1,000",217%,119%,82%,652,141%,77%,53%,429,703%,447%,327%,215,352%,224%,164%,140,230%,146%,107%
"Morgantown, WV","1,555",155,499,"1,027",40,97,"329,288","68,760","131,715","27,639","5,996","1,843",369%,179%,119%,921,185%,90%,59%,601,120%,59%,39%,400,1000%,412%,258%,200,500%,206%,129%,130,325%,134%,84%
"Morristown, NJ","1,862",147,589,"1,226",54,101,"795,142","157,620","318,057","66,420","14,327","4,428",752%,361%,238%,"2,214",376%,181%,119%,"1,444",245%,118%,78%,955,1769%,946%,650%,478,885%,473%,325%,311,576%,308%,212%
"Muncie, IN",377,36,129,253,8,22,"128,803","27,663","51,521","10,840","2,359",723,560%,286%,192%,361,280%,143%,96%,236,183%,93%,63%,157,1963%,714%,436%,79,988%,359%,219%,51,638%,232%,142%
"Munster, IN","1,500",105,642,"1,071",42,74,"239,843","45,234","95,937","19,947","4,280","1,330",207%,124%,89%,665,104%,62%,44%,434,68%,41%,29%,285,679%,385%,271%,143,340%,193%,136%,93,221%,126%,89%
"Muskegon, MI",501,57,253,377,40,49,"209,507","45,654","83,803","17,657","3,849","1,177",465%,312%,235%,589,233%,156%,118%,384,152%,102%,77%,257,643%,524%,451%,128,320%,261%,225%,84,210%,171%,147%
"Napa, CA",456,70,152,304,41,56,"218,503","53,625","87,401","18,644","4,123","1,243",818%,409%,273%,621,409%,204%,136%,405,266%,133%,89%,275,671%,491%,393%,137,334%,245%,196%,90,220%,161%,129%
"Nashville, TN","7,810","1,118","2,987","5,398",317,717,"2,282,662","410,987","913,065","189,100","40,380","12,607",422%,234%,161%,"6,303",211%,117%,81%,"4,111",138%,76%,53%,"2,692",849%,375%,241%,"1,346",425%,188%,120%,878,277%,122%,79%
"Neenah, WI",447,46,262,355,25,35,"191,863","39,899","76,745","16,098","3,491","1,073",410%,302%,240%,537,205%,151%,120%,350,134%,99%,78%,233,932%,666%,507%,116,464%,331%,252%,76,304%,217%,165%
"New Brunswick, NJ","2,177",213,616,"1,397",126,170,"845,392","153,380","338,157","70,078","14,976","4,672",758%,334%,215%,"2,336",379%,167%,107%,"1,523",247%,109%,70%,998,792%,587%,469%,499,396%,294%,234%,326,259%,192%,153%
"New Haven, CT","2,825",286,610,"1,717",118,202,"1,177,072","244,084","470,829","98,733","21,403","6,582",1079%,383%,233%,"3,291",540%,192%,116%,"2,146",352%,125%,76%,"1,427",1209%,706%,499%,713,604%,353%,249%,465,394%,230%,163%
"New Orleans, LA","2,491",313,869,"1,680",77,195,"554,325","92,037","221,730","45,626","9,666","3,042",350%,181%,122%,"1,521",175%,91%,61%,992,114%,59%,40%,644,836%,330%,206%,322,418%,165%,103%,210,273%,108%,67%
"Newark, NJ","3,636",403,"1,033","2,334",195,299,"1,233,539","198,090","493,416","101,276","21,388","6,752",654%,289%,186%,"3,376",327%,145%,93%,"2,202",213%,94%,61%,"1,426",731%,477%,354%,713,366%,238%,177%,465,238%,156%,115%
"Newport News, VA",905,145,251,578,45,95,"447,424","89,385","178,970","37,401","8,074","2,493",993%,431%,275%,"1,247",497%,216%,138%,813,324%,141%,90%,538,1196%,566%,371%,269,598%,283%,186%,176,391%,185%,121%
"Norfolk, VA","2,543",276,782,"1,663",82,179,"1,023,500","174,191","409,400","84,405","17,923","5,627",720%,338%,221%,"2,814",360%,169%,111%,"1,835",235%,110%,72%,"1,195",1457%,668%,433%,597,728%,334%,216%,390,476%,218%,141%
"Ocala, FL",902,150,289,596,51,100,"449,792","185,054","179,917","41,216","9,835","2,748",951%,461%,305%,"1,374",475%,231%,152%,896,310%,150%,99%,656,1286%,656%,437%,328,643%,328%,219%,214,420%,214%,143%
"Odessa, TX","1,014",101,543,779,38,70,"283,753","43,182","113,501","23,206","4,877","1,547",285%,199%,153%,774,143%,99%,76%,504,93%,65%,50%,325,855%,464%,322%,163,429%,233%,161%,106,279%,151%,105%
"Ogden, UT",750,110,371,561,42,76,"356,000","51,907","142,400","29,028","6,078","1,935",522%,345%,258%,968,261%,173%,129%,631,170%,112%,84%,405,964%,533%,368%,203,483%,267%,185%,132,314%,174%,120%
"Oklahoma City, OK","5,541",582,"2,447","3,994",225,404,"1,491,485","279,037","596,594","123,956","26,574","8,264",338%,207%,149%,"4,132",169%,103%,75%,"2,695",110%,67%,49%,"1,772",788%,439%,304%,886,394%,219%,152%,578,257%,143%,99%
"Olympia, WA",558,84,173,365,25,54,"320,156","71,021","128,062","27,031","5,905","1,802",1042%,494%,323%,901,521%,247%,161%,588,340%,161%,105%,394,1576%,730%,469%,197,788%,365%,235%,128,512%,237%,152%
"Omaha, NE","4,017",449,"1,742","2,879",184,317,"1,010,995","195,073","404,398","84,248","18,120","5,617",322%,195%,140%,"2,808",161%,98%,70%,"1,831",105%,64%,46%,"1,208",657%,381%,269%,604,328%,191%,135%,394,214%,124%,88%
"Orange County, CA","5,813",690,"2,236","4,024",293,491,"2,662,559","456,181","1,065,024","219,689","46,681","14,646",655%,364%,252%,"7,323",328%,182%,126%,"4,776",214%,119%,82%,"3,112",1062%,634%,451%,"1,556",531%,317%,226%,"1,015",346%,207%,147%
"Orlando, FL","10,004","1,284","3,292","6,648",448,866,"3,130,935","714,153","1,252,374","265,089","58,101","17,673",537%,266%,177%,"8,836",268%,133%,88%,"5,763",175%,87%,58%,"3,873",865%,447%,302%,"1,937",432%,224%,151%,"1,263",282%,146%,98%
"Ormond Beach, FL",872,158,359,616,63,110,"338,880","108,815","135,552","29,890","6,858","1,993",555%,324%,229%,996,277%,162%,114%,650,181%,106%,75%,457,725%,415%,289%,229,363%,208%,145%,149,237%,135%,94%
"Owensboro, KY",390,36,175,282,14,25,"112,038","24,900","44,815","9,461","2,067",631,361%,224%,162%,315,180%,112%,81%,206,118%,73%,53%,138,986%,552%,383%,69,493%,276%,192%,45,321%,180%,125%
"Oxford, MS",835,29,344,589,15,22,"116,854","21,977","46,742","9,716","2,084",648,188%,110%,78%,324,94%,55%,39%,211,61%,36%,25%,139,927%,632%,479%,69,460%,314%,238%,45,300%,205%,155%
"Paducah, KY","1,490",117,779,"1,134",57,87,"290,227","70,421","116,091","24,733","5,462","1,649",212%,145%,111%,824,106%,73%,55%,538,69%,47%,36%,364,639%,418%,311%,182,319%,209%,156%,119,209%,137%,102%
"Palm Springs/Rancho Mira, CA",974,69,404,689,23,46,"305,976","94,312","122,390","26,838","6,121","1,789",443%,260%,184%,895,222%,130%,92%,583,144%,85%,60%,408,1774%,887%,591%,204,887%,443%,296%,133,578%,289%,193%
"Paterson, NJ","1,164",84,527,845,12,48,"310,775","60,087","124,310","25,902","5,572","1,727",328%,204%,148%,863,164%,102%,74%,563,107%,67%,48%,371,3092%,773%,442%,186,1550%,388%,221%,121,1008%,252%,144%
"Pensacola, FL","2,001",230,755,"1,378",91,160,"636,854","130,505","254,742","53,360","11,552","3,557",471%,258%,178%,"1,779",236%,129%,89%,"1,160",154%,84%,58%,770,846%,481%,335%,385,423%,241%,167%,251,276%,157%,109%
"Peoria, IL","1,725",156,643,"1,184",71,114,"469,070","106,095","187,628","39,681","8,688","2,645",411%,223%,153%,"1,323",206%,112%,77%,863,134%,73%,50%,579,815%,508%,371%,290,408%,254%,186%,189,266%,166%,121%
"Petoskey, MI",476,68,178,327,22,45,"142,627","37,819","57,051","12,277","2,742",818,460%,250%,172%,409,230%,125%,86%,267,150%,82%,56%,183,832%,407%,269%,91,414%,202%,134%,60,273%,133%,88%
"Philadelphia, PA","10,697","1,257","3,634","7,165",546,902,"3,331,376","632,032","1,332,550","277,202","59,513","18,480",509%,258%,173%,"9,240",254%,129%,86%,"6,026",166%,84%,56%,"3,968",727%,440%,316%,"1,984",363%,220%,158%,"1,294",237%,143%,103%
"Phoenix, AZ","6,977",957,"2,567","4,772",416,687,"2,761,090","532,669","1,104,436","230,084","49,485","15,339",598%,321%,220%,"7,669",299%,161%,110%,"5,002",195%,105%,72%,"3,299",793%,480%,345%,"1,650",397%,240%,172%,"1,076",259%,157%,112%
"Pittsburgh, PA","8,133","1,079","2,738","5,436",420,749,"2,324,172","541,967","929,669","197,232","43,344","13,149",480%,242%,162%,"6,574",240%,121%,81%,"4,288",157%,79%,53%,"2,890",688%,386%,268%,"1,445",344%,193%,134%,942,224%,126%,87%
"Pontiac, MI",911,95,321,616,49,72,"376,936","70,983","150,774","31,344","6,724","2,090",651%,339%,229%,"1,045",326%,170%,115%,681,212%,111%,75%,448,914%,622%,472%,224,457%,311%,236%,146,298%,203%,154%
"Portland, ME","2,524",209,710,"1,617",92,151,"876,231","194,509","350,492","73,985","16,164","4,932",695%,305%,195%,"2,466",347%,153%,98%,"1,608",226%,99%,64%,"1,078",1172%,714%,516%,539,586%,357%,258%,351,382%,232%,168%
"Portland, OR","4,684",661,"1,737","3,211",278,469,"2,215,589","412,976","886,236","184,078","39,447","12,272",707%,382%,262%,"6,136",353%,191%,131%,"4,002",230%,125%,85%,"2,630",946%,561%,398%,"1,315",473%,280%,199%,858,309%,183%,130%
"Providence, RI","2,249",293,690,"1,470",82,188,"986,702","192,737","394,681","82,313","17,727","5,488",795%,373%,244%,"2,744",398%,187%,122%,"1,789",259%,122%,80%,"1,182",1441%,629%,403%,591,721%,314%,202%,385,470%,205%,131%
"Provo, UT",941,122,387,664,52,87,"436,975","52,585","174,790","35,208","7,259","2,347",606%,353%,249%,"1,174",303%,177%,125%,765,198%,115%,81%,484,931%,556%,397%,242,465%,278%,198%,158,304%,182%,130%
