HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Harlingen, TX","1,145",120,536,840,44,82,"418,633","76,061","83,727","17,353","3,709","1,157",216%,138%,101%,578,108%,69%,50%,377,70%,45%,33%,247,561%,301%,206%,124,282%,151%,103%,81,184%,99%,68%
"Harrisburg, PA","2,426",211,929,"1,677",61,136,"825,408","183,199","165,082","34,846","7,613","2,323",250%,139%,96%,"1,162",125%,69%,48%,758,82%,45%,31%,508,833%,374%,241%,254,416%,187%,120%,166,272%,122%,79%
"Hartford, CT","2,855",323,751,"1,803",115,219,"1,196,337","245,503","239,267","50,125","10,853","3,342",445%,185%,117%,"1,671",223%,93%,59%,"1,090",145%,60%,38%,724,630%,331%,224%,362,315%,165%,112%,236,205%,108%,73%
"Hattiesburg, MS","1,546",85,504,"1,025",30,57,"240,419","46,076","48,084","10,011","2,152",667,132%,65%,43%,334,66%,33%,22%,218,43%,21%,14%,143,477%,251%,168%,72,240%,126%,85%,47,157%,82%,55%
"Hickory, NC",603,64,253,428,25,45,"229,268","51,364","45,854","9,688","2,119",646,255%,151%,107%,323,128%,75%,54%,211,83%,49%,35%,141,564%,313%,220%,71,284%,158%,111%,46,184%,102%,72%
"Hinsdale, IL","1,041",172,402,721,89,130,"385,733","67,856","77,147","15,947","3,397","1,063",264%,147%,102%,532,132%,74%,51%,347,86%,48%,33%,226,254%,174%,131%,113,127%,87%,66%,74,83%,57%,43%
"Honolulu, HI","2,623",219,795,"1,709",73,146,"1,114,023","238,126","222,805","46,857","10,192","3,124",393%,183%,119%,"1,562",196%,91%,60%,"1,019",128%,60%,39%,679,930%,465%,310%,340,466%,233%,155%,222,304%,152%,101%
"Houma, LA",707,65,399,553,32,49,"206,176","37,957","41,235","8,556","1,831",570,143%,103%,81%,285,71%,52%,40%,186,47%,34%,26%,122,381%,249%,188%,61,191%,124%,94%,40,125%,82%,62%
"Houston, TX","14,062","1,790","5,130","9,596",652,"1,221","5,278,689","769,270","1,055,738","215,206","45,055","14,347",280%,150%,102%,"7,174",140%,75%,51%,"4,678",91%,49%,33%,"3,004",461%,246%,168%,"1,502",230%,123%,84%,979,150%,80%,55%
"Hudson, FL","1,188",160,329,758,45,102,"351,228","112,737","70,246","15,489","3,553","1,033",314%,136%,87%,516,157%,68%,43%,337,102%,44%,28%,237,527%,232%,148%,118,262%,116%,74%,77,171%,75%,48%
"Huntington, WV","1,561",162,382,971,64,113,"276,340","63,341","55,268","11,704","2,567",780,204%,80%,50%,390,102%,40%,25%,254,66%,26%,16%,171,267%,151%,106%,86,134%,76%,53%,56,88%,50%,35%
"Huntsville, AL","1,804",248,569,"1,187",59,154,"506,155","100,153","101,231","21,137","4,558","1,409",248%,119%,78%,705,124%,59%,39%,460,81%,39%,25%,304,515%,197%,123%,152,258%,99%,61%,99,168%,64%,40%
"Idaho Falls, ID",492,44,269,381,24,34,"169,856","28,437","33,971","6,995","1,483",466,173%,122%,95%,233,87%,61%,47%,152,57%,40%,31%,99,413%,291%,225%,49,204%,144%,111%,32,133%,94%,73%
"Indianapolis, IN","7,441","1,081","3,350","5,396",403,742,"2,249,394","412,838","449,879","93,321","19,966","6,221",186%,115%,84%,"3,111",93%,58%,42%,"2,029",61%,38%,27%,"1,331",330%,179%,123%,666,165%,90%,62%,434,108%,58%,40%
"Iowa City, IA","1,414",147,538,976,64,106,"279,218","53,012","55,844","11,618","2,494",775,144%,79%,55%,387,72%,40%,27%,253,47%,26%,18%,166,259%,157%,113%,83,130%,78%,56%,54,84%,51%,37%
"Jackson, MS","4,425",406,"1,964","3,194",149,277,"792,834","152,349","158,567","33,022","7,099","2,201",112%,69%,50%,"1,101",56%,34%,25%,718,37%,22%,16%,473,317%,171%,117%,237,159%,86%,58%,154,103%,56%,38%
"Jackson, TN","1,063",115,423,743,57,86,"256,100","58,414","51,220","10,842","2,376",723,171%,97%,68%,361,85%,49%,34%,236,56%,32%,22%,158,277%,184%,137%,79,139%,92%,69%,52,91%,60%,45%
"Jacksonville, FL","4,947",618,"1,625","3,286",183,400,"1,340,118","254,567","268,024","55,761","11,973","3,717",229%,113%,75%,"1,859",114%,57%,38%,"1,212",75%,37%,24%,798,436%,200%,129%,399,218%,100%,65%,260,142%,65%,42%
"Johnson City, TN",956,94,342,649,39,66,"235,522","51,395","47,104","9,926","2,164",662,194%,102%,69%,331,97%,51%,35%,216,63%,33%,23%,144,369%,218%,153%,72,185%,109%,77%,47,121%,71%,50%
"Johnstown, PA",741,44,426,584,25,35,"170,816","45,254","34,163","7,351","1,642",490,115%,84%,66%,245,58%,42%,33%,160,38%,27%,22%,109,436%,311%,248%,55,220%,157%,125%,36,144%,103%,82%
"Joliet, IL","1,376",149,662,"1,019",53,101,"516,812","90,546","103,362","21,359","4,549","1,424",215%,140%,103%,712,108%,70%,52%,464,70%,46%,34%,303,572%,300%,203%,152,287%,150%,102%,99,187%,98%,66%
"Jonesboro, AR",975,76,403,689,23,50,"185,969","38,518","37,194","7,799","1,690",520,129%,75%,53%,260,65%,38%,27%,170,42%,25%,17%,113,491%,226%,149%,56,243%,112%,74%,37,161%,74%,49%
"Joplin, MO","1,045",124,507,776,71,97,"282,798","63,826","56,560","11,959","2,618",797,157%,103%,76%,399,79%,51%,38%,260,51%,34%,25%,175,246%,180%,141%,87,123%,90%,70%,57,80%,59%,46%
"Kalamazoo, MI","1,462",139,681,"1,072",21,80,"520,196","104,986","104,039","21,762","4,703","1,451",213%,135%,99%,725,106%,68%,50%,473,69%,44%,32%,314,1495%,393%,226%,157,748%,196%,113%,102,486%,128%,73%
"Kansas City, MO","6,736",795,"2,646","4,691",286,541,"1,950,902","362,250","390,180","81,017","17,355","5,401",204%,115%,80%,"2,701",102%,58%,40%,"1,761",67%,38%,26%,"1,157",405%,214%,146%,578,202%,107%,73%,377,132%,70%,47%
"Kettering, OH",923,138,412,667,42,90,"334,281","73,199","66,856","14,093","3,074",940,228%,141%,102%,470,114%,70%,51%,306,74%,46%,33%,205,488%,228%,149%,102,243%,113%,74%,67,160%,74%,49%
"Kingsport, TN","1,485",185,668,"1,077",75,130,"375,852","93,948","75,170","16,067","3,562","1,071",160%,99%,72%,536,80%,50%,36%,349,52%,32%,24%,237,316%,182%,128%,119,159%,92%,64%,77,103%,59%,42%
"Knoxville, TN","3,193",299,"1,198","2,195",74,186,"1,108,058","250,729","221,612","46,870","10,263","3,125",261%,142%,98%,"1,562",130%,71%,49%,"1,019",85%,46%,32%,684,924%,368%,229%,342,462%,184%,114%,223,301%,120%,75%
"La Crosse, WI",650,78,286,468,44,61,"279,590","60,747","55,918","11,779","2,567",785,274%,168%,121%,393,137%,84%,60%,256,90%,55%,39%,171,389%,280%,219%,86,195%,141%,110%,56,127%,92%,72%
"Lafayette, IN",457,34,193,325,14,24,"199,535","31,824","39,907","8,187","1,728",546,283%,168%,119%,273,141%,84%,60%,178,92%,55%,39%,115,821%,479%,338%,58,414%,242%,171%,38,271%,158%,112%
"Lafayette, LA","1,716",188,700,"1,208",87,137,"477,559","85,840","95,512","19,778","4,223","1,319",188%,109%,77%,659,94%,55%,38%,430,61%,36%,25%,282,324%,206%,150%,141,162%,103%,75%,92,106%,67%,49%
"Lake Charles, LA",830,81,424,627,44,62,"210,604","37,934","42,121","8,724","1,863",582,137%,93%,70%,291,69%,46%,35%,190,45%,30%,23%,124,282%,200%,153%,62,141%,100%,77%,40,91%,65%,49%
"Lakeland, FL","1,046",103,382,714,57,80,"317,384","73,118","63,477","13,450","2,951",897,235%,126%,86%,448,117%,63%,43%,292,76%,41%,28%,197,346%,246%,191%,98,172%,123%,95%,64,112%,80%,62%
"Lancaster, PA","1,081",98,468,774,40,69,"528,715","112,509","105,743","22,229","4,833","1,482",317%,191%,137%,741,158%,96%,69%,483,103%,62%,45%,322,805%,467%,329%,161,403%,233%,164%,105,263%,152%,107%
"Lansing, MI","1,444",240,632,"1,038",115,177,"561,636","102,892","112,327","23,297","4,984","1,553",246%,150%,108%,777,123%,75%,54%,506,80%,49%,35%,332,289%,188%,138%,166,144%,94%,69%,108,94%,61%,45%
"Las Vegas, NV","4,165",761,"1,088","2,626",162,462,"1,704,994","321,669","340,999","70,902","15,213","4,727",434%,180%,113%,"2,363",217%,90%,57%,"1,541",142%,59%,37%,"1,014",626%,219%,133%,507,313%,110%,67%,331,204%,72%,43%
"Lawton, OK",733,76,346,539,32,54,"152,745","28,422","30,549","6,344","1,359",423,122%,78%,58%,211,61%,39%,29%,138,40%,26%,19%,91,284%,169%,120%,45,141%,83%,59%,30,94%,56%,39%
"Lebanon, NH",939,105,333,636,56,80,"320,499","77,792","64,100","13,657","3,016",910,273%,143%,97%,455,137%,72%,48%,297,89%,47%,32%,201,359%,251%,191%,101,180%,126%,96%,66,118%,83%,63%
"Lexington, KY","5,045",579,"2,073","3,559",172,375,"1,192,842","231,348","238,568","49,724","10,700","3,315",160%,93%,66%,"1,657",80%,47%,33%,"1,081",52%,30%,21%,713,415%,190%,123%,357,208%,95%,62%,233,135%,62%,40%
"Lincoln, NE","2,047",116,"1,016","1,532",33,75,"459,005","93,970","91,801","19,228","4,162","1,282",126%,84%,63%,641,63%,42%,31%,418,41%,27%,20%,277,839%,369%,239%,139,421%,185%,120%,90,273%,120%,78%
"Little Rock, AR","4,854",520,"2,174","3,514",177,348,"1,212,482","258,840","242,496","50,992","11,090","3,399",156%,97%,70%,"1,700",78%,48%,35%,"1,109",51%,32%,23%,739,418%,212%,142%,370,209%,106%,71%,241,136%,69%,46%
"Longview, TX",224,45,98,161,21,33,"161,316","33,367","32,263","6,764","1,466",451,460%,280%,201%,225,230%,140%,100%,147,150%,91%,66%,98,467%,297%,218%,49,233%,148%,109%,32,152%,97%,71%
"Los Angeles, CA","19,492","2,415","6,594","13,043",942,"1,679","7,874,162","1,268,093","1,574,832","323,312","68,296","21,554",327%,165%,111%,"10,777",163%,83%,55%,"7,029",107%,54%,36%,"4,553",483%,271%,189%,"2,277",242%,136%,94%,"1,485",158%,88%,61%
"Louisville, KY","4,162",506,"1,700","2,931",165,335,"1,385,741","271,762","277,148","57,822","12,458","3,855",227%,132%,93%,"1,927",113%,66%,46%,"1,257",74%,43%,30%,831,504%,248%,164%,415,252%,124%,82%,271,164%,81%,54%
"Lubbock, TX","1,811",298,922,"1,367",85,191,"546,461","91,980","109,292","22,513","4,776","1,501",163%,110%,83%,750,81%,55%,41%,489,53%,36%,27%,318,374%,166%,107%,159,187%,83%,53%,104,122%,54%,35%
"Lynchburg, VA","1,174",55,309,741,20,37,"217,344","49,862","43,469","9,206","2,019",614,199%,83%,52%,307,99%,41%,26%,200,65%,27%,17%,135,675%,365%,245%,67,335%,181%,122%,44,220%,119%,80%
"Macon, GA","2,295",240,865,"1,580",57,149,"568,689","111,226","113,738","23,724","5,110","1,582",183%,100%,69%,791,91%,50%,34%,516,60%,33%,22%,341,598%,229%,142%,170,298%,114%,71%,111,195%,74%,46%
"Madison, WI","2,443",267,838,"1,640",121,194,"886,932","165,619","177,386","36,850","7,898","2,457",293%,150%,101%,"1,228",147%,75%,50%,801,96%,49%,33%,527,436%,272%,197%,263,217%,136%,99%,172,142%,89%,64%
"Manchester, NH","1,603",137,582,"1,092",53,95,"714,679","143,594","142,936","29,886","6,456","1,992",342%,182%,124%,996,171%,91%,62%,650,112%,60%,41%,430,811%,453%,314%,215,406%,226%,157%,140,264%,147%,102%
"Manhattan, NY","14,834","1,427","3,059","8,946",616,"1,021","4,173,437","725,342","834,687","172,372","36,678","11,491",376%,128%,77%,"5,746",188%,64%,39%,"3,747",122%,42%,25%,"2,445",397%,239%,171%,"1,223",199%,120%,86%,797,129%,78%,56%
"Marquette, MI",601,47,276,438,18,32,"159,278","39,415","31,856","6,802","1,506",453,164%,103%,75%,227,82%,52%,38%,148,54%,34%,25%,100,556%,313%,213%,50,278%,156%,106%,33,183%,103%,70%
"Marshfield, WI",706,68,281,494,34,51,"295,582","70,770","59,116","12,577","2,773",838,298%,170%,119%,419,149%,85%,59%,273,97%,55%,39%,185,544%,363%,272%,92,271%,180%,135%,60,176%,118%,88%
"Mason City, IA",470,18,239,354,6,12,"100,326","26,837","20,065","4,322",967,288,121%,81%,61%,144,60%,41%,31%,94,39%,27%,20%,64,1067%,533%,356%,32,533%,267%,178%,21,350%,175%,117%
"McAllen, TX","1,938",350,849,"1,394",133,241,"486,579","74,033","97,316","19,897","4,181","1,326",156%,95%,68%,663,78%,48%,34%,433,51%,31%,22%,279,210%,116%,80%,139,105%,58%,40%,91,68%,38%,26%
"Medford, OR",855,72,369,612,25,49,"351,154","95,565","70,231","15,160","3,398","1,011",274%,165%,118%,505,137%,83%,59%,330,89%,54%,39%,227,908%,463%,315%,113,452%,231%,157%,74,296%,151%,103%
"Melrose Park, IL","2,902",334,"1,122","2,012",137,236,"1,031,510","185,204","206,302","42,716","9,119","2,848",254%,142%,98%,"1,424",127%,71%,49%,929,83%,46%,32%,608,444%,258%,182%,304,222%,129%,91%,198,145%,84%,59%
"Memphis, TN","5,054",543,"2,045","3,549",139,341,"1,366,198","246,308","273,240","56,595","12,087","3,773",184%,106%,75%,"1,886",92%,53%,37%,"1,230",60%,35%,24%,806,580%,236%,148%,403,290%,118%,74%,263,189%,77%,48%
"Meridian, MS","1,117",57,445,781,19,38,"148,060","32,340","29,612","6,241","1,361",416,93%,53%,37%,208,47%,27%,19%,136,31%,17%,12%,91,479%,239%,160%,45,237%,118%,79%,30,158%,79%,53%
"Mesa, AZ","2,091",291,648,"1,370",108,200,"1,135,619","212,738","227,124","47,196","10,119","3,146",485%,230%,150%,"1,573",243%,115%,75%,"1,026",158%,75%,49%,675,625%,338%,232%,337,312%,169%,116%,220,204%,110%,76%
"Metairie, LA",857,111,406,631,44,78,"366,346","76,217","73,269","15,369","3,333","1,025",252%,162%,120%,512,126%,81%,60%,334,82%,53%,39%,222,505%,285%,200%,111,252%,142%,100%,72,164%,92%,65%
"Miami, FL","9,139",981,"2,952","6,045",280,630,"2,741,481","526,396","548,296","114,178","24,544","7,612",258%,126%,83%,"3,806",129%,63%,42%,"2,482",84%,41%,27%,"1,636",584%,260%,167%,818,292%,130%,83%,534,191%,85%,54%
"Milwaukee, WI","5,263",818,"2,207","3,735",323,570,"2,079,205","380,644","415,841","86,242","18,447","5,749",260%,154%,109%,"2,875",130%,77%,55%,"1,875",85%,50%,36%,"1,230",381%,216%,150%,615,190%,108%,75%,401,124%,70%,49%
"Minneapolis, MN","6,954",612,"2,458","4,706",238,425,"2,570,355","478,271","514,071","106,761","22,874","7,117",290%,151%,102%,"3,559",145%,76%,51%,"2,321",94%,49%,33%,"1,525",641%,359%,249%,762,320%,179%,125%,497,209%,117%,81%
"Minot, ND",916,19,384,650,9,14,"112,434","19,303","22,487","4,639",986,309,80%,48%,34%,155,40%,24%,17%,101,26%,16%,11%,66,733%,471%,347%,33,367%,236%,174%,21,233%,150%,111%
"Missoula, MT","1,002",79,455,729,39,59,"315,091","74,302","63,018","13,385","2,946",892,196%,122%,89%,446,98%,61%,45%,291,64%,40%,29%,196,503%,332%,248%,98,251%,166%,124%,64,164%,108%,81%
"Mobile, AL","2,066",282,695,"1,380",101,191,"648,957","135,227","129,791","27,230","5,906","1,815",261%,132%,88%,908,131%,66%,44%,592,85%,43%,29%,394,390%,206%,140%,197,195%,103%,70%,128,127%,67%,45%
"Modesto, CA","1,478",118,467,972,44,81,"680,976","119,559","136,195","28,149","5,996","1,877",402%,193%,127%,938,201%,97%,63%,612,131%,63%,41%,400,909%,494%,339%,200,455%,247%,169%,130,295%,160%,110%
"Monroe, LA","1,064",102,561,813,36,69,"204,787","41,070","40,957","8,562","1,849",571,102%,70%,54%,285,51%,35%,27%,186,33%,23%,17%,123,342%,178%,121%,62,172%,90%,61%,40,111%,58%,39%
"Montgomery, AL","1,225",131,461,843,61,96,"360,863","68,023","72,173","15,005","3,219","1,000",217%,119%,82%,500,108%,59%,41%,326,71%,39%,27%,215,352%,224%,164%,107,175%,111%,82%,70,115%,73%,53%
"Morgantown, WV","1,555",155,499,"1,027",40,97,"329,288","68,760","65,858","13,819","2,998",921,185%,90%,59%,461,92%,45%,30%,300,60%,29%,19%,200,500%,206%,129%,100,250%,103%,65%,65,163%,67%,42%
"Morristown, NJ","1,862",147,589,"1,226",54,101,"795,142","157,620","159,028","33,210","7,163","2,214",376%,181%,119%,"1,107",188%,90%,59%,722,123%,59%,39%,478,885%,473%,325%,239,443%,237%,163%,156,289%,154%,106%
"Muncie, IN",377,36,129,253,8,22,"128,803","27,663","25,761","5,420","1,180",361,280%,143%,96%,181,140%,72%,48%,118,91%,47%,31%,79,988%,359%,219%,39,488%,177%,108%,26,325%,118%,72%
"Munster, IN","1,500",105,642,"1,071",42,74,"239,843","45,234","47,969","9,974","2,140",665,104%,62%,44%,332,52%,31%,22%,217,34%,20%,14%,143,340%,193%,136%,71,169%,96%,68%,47,112%,64%,45%
"Muskegon, MI",501,57,253,377,40,49,"209,507","45,654","41,901","8,829","1,925",589,233%,156%,118%,294,116%,78%,59%,192,76%,51%,38%,128,320%,261%,225%,64,160%,131%,112%,42,105%,86%,74%
"Napa, CA",456,70,152,304,41,56,"218,503","53,625","43,701","9,322","2,062",621,409%,204%,136%,311,205%,102%,68%,203,134%,67%,45%,137,334%,245%,196%,69,168%,123%,99%,45,110%,80%,64%
"Nashville, TN","7,810","1,118","2,987","5,398",317,717,"2,282,662","410,987","456,532","94,550","20,190","6,303",211%,117%,81%,"3,152",106%,58%,40%,"2,055",69%,38%,26%,"1,346",425%,188%,120%,673,212%,94%,60%,439,138%,61%,39%
"Neenah, WI",447,46,262,355,25,35,"191,863","39,899","38,373","8,049","1,745",537,205%,151%,120%,268,102%,75%,60%,175,67%,49%,39%,116,464%,331%,252%,58,232%,166%,126%,38,152%,109%,83%
"New Brunswick, NJ","2,177",213,616,"1,397",126,170,"845,392","153,380","169,078","35,039","7,488","2,336",379%,167%,107%,"1,168",190%,84%,54%,762,124%,55%,35%,499,396%,294%,234%,250,198%,147%,117%,163,129%,96%,77%
"New Haven, CT","2,825",286,610,"1,717",118,202,"1,177,072","244,084","235,414","49,366","10,701","3,291",540%,192%,116%,"1,646",270%,96%,58%,"1,073",176%,62%,38%,713,604%,353%,249%,357,303%,177%,125%,233,197%,115%,81%
"New Orleans, LA","2,491",313,869,"1,680",77,195,"554,325","92,037","110,865","22,813","4,833","1,521",175%,91%,61%,760,87%,45%,31%,496,57%,30%,20%,322,418%,165%,103%,161,209%,83%,51%,105,136%,54%,34%
"Newark, NJ","3,636",403,"1,033","2,334",195,299,"1,233,539","198,090","246,708","50,638","10,694","3,376",327%,145%,93%,"1,688",163%,72%,46%,"1,101",107%,47%,30%,713,366%,238%,177%,356,183%,119%,88%,232,119%,78%,58%
"Newport News, VA",905,145,251,578,45,95,"447,424","89,385","89,485","18,700","4,037","1,247",497%,216%,138%,623,248%,108%,69%,407,162%,70%,45%,269,598%,283%,186%,135,300%,142%,93%,88,196%,93%,61%
"Norfolk, VA","2,543",276,782,"1,663",82,179,"1,023,500","174,191","204,700","42,203","8,962","2,814",360%,169%,111%,"1,407",180%,85%,55%,917,117%,55%,36%,597,728%,334%,216%,299,365%,167%,108%,195,238%,109%,71%
"Ocala, FL",902,150,289,596,51,100,"449,792","185,054","89,958","20,608","4,918","1,374",475%,231%,152%,687,238%,115%,76%,448,155%,75%,50%,328,643%,328%,219%,164,322%,164%,109%,107,210%,107%,71%
"Odessa, TX","1,014",101,543,779,38,70,"283,753","43,182","56,751","11,603","2,438",774,143%,99%,76%,387,71%,50%,38%,252,46%,32%,25%,163,429%,233%,161%,81,213%,116%,80%,53,139%,76%,52%
"Ogden, UT",750,110,371,561,42,76,"356,000","51,907","71,200","14,514","3,039",968,261%,173%,129%,484,130%,86%,65%,316,85%,56%,42%,203,483%,267%,185%,101,240%,133%,92%,66,157%,87%,60%
"Oklahoma City, OK","5,541",582,"2,447","3,994",225,404,"1,491,485","279,037","298,297","61,978","13,287","4,132",169%,103%,75%,"2,066",84%,52%,37%,"1,347",55%,34%,24%,886,394%,219%,152%,443,197%,110%,76%,289,128%,72%,50%
"Olympia, WA",558,84,173,365,25,54,"320,156","71,021","64,031","13,515","2,952",901,521%,247%,161%,450,260%,123%,81%,294,170%,81%,53%,197,788%,365%,235%,98,392%,181%,117%,64,256%,119%,76%
"Omaha, NE","4,017",449,"1,742","2,879",184,317,"1,010,995","195,073","202,199","42,124","9,060","2,808",161%,98%,70%,"1,404",81%,49%,35%,916,53%,32%,23%,604,328%,191%,135%,302,164%,95%,67%,197,107%,62%,44%
"Orange County, CA","5,813",690,"2,236","4,024",293,491,"2,662,559","456,181","532,512","109,845","23,341","7,323",328%,182%,126%,"3,662",164%,91%,63%,"2,388",107%,59%,41%,"1,556",531%,317%,226%,778,266%,158%,113%,507,173%,103%,73%
"Orlando, FL","10,004","1,284","3,292","6,648",448,866,"3,130,935","714,153","626,187","132,544","29,051","8,836",268%,133%,88%,"4,418",134%,66%,44%,"2,881",88%,43%,29%,"1,937",432%,224%,151%,968,216%,112%,75%,632,141%,73%,49%
"Ormond Beach, FL",872,158,359,616,63,110,"338,880","108,815","67,776","14,945","3,429",996,277%,162%,114%,498,139%,81%,57%,325,91%,53%,37%,229,363%,208%,145%,114,181%,104%,72%,75,119%,68%,47%
"Owensboro, KY",390,36,175,282,14,25,"112,038","24,900","22,408","4,731","1,034",315,180%,112%,81%,158,90%,56%,41%,103,59%,37%,26%,69,493%,276%,192%,34,243%,136%,94%,22,157%,88%,61%
"Oxford, MS",835,29,344,589,15,22,"116,854","21,977","23,371","4,858","1,042",324,94%,55%,39%,162,47%,28%,19%,106,31%,18%,13%,69,460%,314%,238%,35,233%,159%,121%,23,153%,105%,79%
"Paducah, KY","1,490",117,779,"1,134",57,87,"290,227","70,421","58,045","12,367","2,731",824,106%,73%,55%,412,53%,36%,28%,269,35%,24%,18%,182,319%,209%,156%,91,160%,105%,78%,59,104%,68%,50%
"Palm Springs/Rancho Mira, CA",974,69,404,689,23,46,"305,976","94,312","61,195","13,419","3,060",895,222%,130%,92%,447,111%,65%,46%,292,72%,42%,30%,204,887%,443%,296%,102,443%,222%,148%,67,291%,146%,97%
"Paterson, NJ","1,164",84,527,845,12,48,"310,775","60,087","62,155","12,951","2,786",863,164%,102%,74%,432,82%,51%,37%,282,54%,33%,24%,186,1550%,388%,221%,93,775%,194%,111%,61,508%,127%,73%
"Pensacola, FL","2,001",230,755,"1,378",91,160,"636,854","130,505","127,371","26,680","5,776","1,779",236%,129%,89%,889,118%,65%,44%,580,77%,42%,29%,385,423%,241%,167%,193,212%,121%,84%,126,138%,79%,55%
"Peoria, IL","1,725",156,643,"1,184",71,114,"469,070","106,095","93,814","19,840","4,344","1,323",206%,112%,77%,661,103%,56%,38%,431,67%,36%,25%,290,408%,254%,186%,145,204%,127%,93%,94,132%,82%,60%
"Petoskey, MI",476,68,178,327,22,45,"142,627","37,819","28,525","6,138","1,371",409,230%,125%,86%,205,115%,63%,43%,133,75%,41%,28%,91,414%,202%,134%,46,209%,102%,68%,30,136%,67%,44%
"Philadelphia, PA","10,697","1,257","3,634","7,165",546,902,"3,331,376","632,032","666,275","138,601","29,757","9,240",254%,129%,86%,"4,620",127%,64%,43%,"3,013",83%,42%,28%,"1,984",363%,220%,158%,992,182%,110%,79%,647,118%,72%,51%
"Phoenix, AZ","6,977",957,"2,567","4,772",416,687,"2,761,090","532,669","552,218","115,042","24,742","7,669",299%,161%,110%,"3,835",149%,80%,55%,"2,501",97%,52%,36%,"1,649",396%,240%,172%,825,198%,120%,86%,538,129%,78%,56%
"Pittsburgh, PA","8,133","1,079","2,738","5,436",420,749,"2,324,172","541,967","464,834","98,616","21,672","6,574",240%,121%,81%,"3,287",120%,60%,40%,"2,144",78%,39%,26%,"1,445",344%,193%,134%,722,172%,96%,67%,471,112%,63%,44%
"Pontiac, MI",911,95,321,616,49,72,"376,936","70,983","75,387","15,672","3,362","1,045",326%,170%,115%,522,163%,85%,57%,341,106%,55%,37%,224,457%,311%,236%,112,229%,156%,118%,73,149%,101%,77%
"Portland, ME","2,524",209,710,"1,617",92,151,"876,231","194,509","175,246","36,992","8,082","2,466",347%,153%,98%,"1,233",174%,76%,49%,804,113%,50%,32%,539,586%,357%,258%,269,292%,178%,129%,176,191%,117%,84%
"Portland, OR","4,684",661,"1,737","3,211",278,469,"2,215,589","412,976","443,118","92,039","19,724","6,136",353%,191%,131%,"3,068",177%,96%,65%,"2,001",115%,62%,43%,"1,315",473%,280%,199%,657,236%,140%,99%,429,154%,91%,65%
"Providence, RI","2,249",293,690,"1,470",82,188,"986,702","192,737","197,340","41,157","8,863","2,744",398%,187%,122%,"1,372",199%,93%,61%,895,130%,61%,40%,591,721%,314%,202%,295,360%,157%,101%,193,235%,103%,66%
"Provo, UT",941,122,387,664,52,87,"436,975","52,585","87,395","17,604","3,630","1,174",303%,177%,125%,587,152%,88%,62%,383,99%,58%,41%,242,465%,278%,198%,121,233%,139%,99%,79,152%,91%,65%
"Pueblo, CO",615,28,238,426,7,17,"138,550","32,449","27,710","5,881","1,293",392,165%,92%,64%,196,82%,46%,32%,128,54%,30%,21%,86,1229%,506%,307%,43,614%,253%,154%,28,400%,165%,100%
"Raleigh, NC","3,560",375,"1,124","2,342",160,267,"1,670,043","272,076","334,009","68,631","14,513","4,575",407%,195%,129%,"2,288",204%,98%,64%,"1,492",133%,64%,42%,968,605%,363%,258%,484,303%,181%,129%,316,198%,118%,84%
"Rapid City, SD",878,46,343,610,20,33,"173,590","37,388","34,718","7,307","1,591",487,142%,80%,55%,244,71%,40%,28%,159,46%,26%,18%,106,530%,321%,230%,53,265%,161%,115%,35,175%,106%,76%
"Reading, PA","1,329",99,559,944,50,75,"466,917","99,775","93,383","19,638","4,272","1,309",234%,139%,98%,655,117%,69%,49%,427,76%,45%,32%,285,570%,380%,288%,142,284%,189%,143%,93,186%,124%,94%
"Redding, CA",786,109,284,535,58,83,"276,179","64,591","55,236","11,722","2,577",781,275%,146%,99%,391,138%,73%,50%,255,90%,48%,32%,172,297%,207%,158%,86,148%,104%,79%,56,97%,67%,51%
"Reno, NV","1,886",406,660,"1,273",128,267,"605,953","127,753","121,191","25,454","5,528","1,697",257%,133%,90%,848,128%,67%,45%,553,84%,43%,29%,369,288%,138%,91%,184,144%,69%,45%,120,94%,45%,30%
