hospital_name,hospital_ownership,hospital_type,lat,lng,address,city,location,county_name,emergency_services,geocode_accuracy,geocode_flag,statecountyfips,cbsa_name,cbsa_code,phone_number,state,url,zip_code,provider_id_int,provider_id_raw,RPT_REC_NUM,PRVDR_CTRL_TYPE_CD,PRVDR_NUM,RPT_STUS_CD,filed_date,fy_start_date,fy_end_date,source_year,days_in_period,most_recent,acute_beds_0700,icu_beds_0800,extra_0899_infped,extra_0899_adult,all_adult_icu_beds,coronary_beds_0900,extra_0999_infped,extra_0999_adult,burn_beds_1000,extra_1099_infped,extra_1099_adult,surg_icu_beds_1100,extra_1199_infped,extra_1199_adult,oth_spec_beds_1200,extra_1299_infped,extra_1299_adult,subtotal_acute_beds_1400,subprovider_ipf_beds_1600,subprovider_irf_beds_1700,subprovider_oth_beds_1800,skilled_nursing_beds_1900,nursing_fac_beds_2000,oth_longterm_beds_2100,hospice_beds_2400,all_beds_2700,labor_delivery_beds_3200,acute_bed_days_0700,icu_bed_days_0800,extra_days_0899_infped,extra_days_0899_adult,all_adult_icu_bed_days,coronary_bed_days_0900,extra_days_0999_infped,extra_days_0999_adult,burn_bed_days_1000,extra_days_1099_infped,extra_days_1099_adult,oth_spec_bed_days_1100,extra_days_1199_infped,extra_days_1199_adult,oth_spec_bed_days_1200,extra_days_1299_infped,extra_days_1299_adult,subtotal_acute_bed_days_1400,subprovider_ipf_bed_days_1600,subprovider_irf_bed_days_1700,subprovider_oth_bed_days_1800,skilled_nursing_bed_days_1900,nursing_fac_bed_days_2000,oth_longterm_bed_days_2100,hospice_bed_days_2400,obs_bed_days_2800,labor_delivery_bed_days_3200,all_adult_icu_utilization,subtotal_acute_utilization,interns_residents,payroll_employees
THE BURDETT CARE CENTER,Voluntary non-profit - Private,Acute Care Hospitals,42.7333950,-73.6714340,2215 BURDETT AVE,TROY,,RENSSELAER,FALSE,,0,36083,"Albany-Schenectady-Troy, NY",10580,(518) 271-3655,NY,https://data.medicare.gov/resource/xubh-q36u/row-iwvg_hz45~632y,12180,330409,330409,652891,6,330409,2,2019-07-03,2018-01-01,2018-12-31,2018,364,t,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRISTUS MOTHER FRANCES HOSPITAL- WINNSBORO,Voluntary non-profit - Private,Critical Access Hospitals,32.9476430,-95.3062300,719 WEST COKE ROAD,WINNSBORO,,WOOD,TRUE,,0,48499,,,(903) 342-5227,TX,https://data.medicare.gov/resource/xubh-q36u/row-sujf.kw2i-m7r8,75494,451381,451381,660335,1,451381,1,2019-11-26,2018-07-01,2019-06-30,2018,364,t,23,,,,0,,,,,,,,,,,,,23,,,,,,,,23,,2293,,,,0,,,,,,,,,,,,,2293,,,,,,,,611,,,27.0000,,96.6800
GOODALL WITCHER HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,31.7771530,-97.5884310,101 POSEY AVENUE,CLIFTON,,BOSQUE,TRUE,,0,48035,,,(254) 675-8322,TX,https://data.medicare.gov/resource/xubh-q36u/row-xqqi.9yb9.h6f2,76634,451385,451385,660476,2,451385,1,2019-11-27,2018-07-01,2019-06-30,2018,364,t,25,,,,0,,,,,,,,,,,,,25,,,,,,,,25,,3067,,,,0,,,,,,,,,,,,,3067,,,,,,,,214,,,33.0000,,182.5800
SANFORD BAGLEY MEDICAL CENTER,Voluntary non-profit - Private,Critical Access Hospitals,47.5258370,-95.4016760,203 4TH STREET NORTHWEST,BAGLEY,,CLEARWATER,TRUE,,0,27029,,,(218) 694-6501,MN,https://data.medicare.gov/resource/xubh-q36u/row-n7dg.2zvq~dkw4,56621,241328,241328,649453,2,241328,1,2019-05-22,2018-07-01,2018-12-31,2018,183,t,25,,,,0,,,,,,,,,,,,,25,,,,,,,,25,,518,,,,0,,,,,,,,,,,,,518,,,,,,,,79,,,11.0000,,66.7700
MUNICIPAL HOSPITAL AND GRANITE MANOR,Government - Local,Critical Access Hospitals,44.8087370,-95.5424670,345 TENTH AVENUE,GRANITE FALLS,,YELLOW MEDCINE,TRUE,,0,27173,,,(320) 564-3111,MN,https://data.medicare.gov/resource/xubh-q36u/row-btj8.8k3m-tcy7,56241,241343,241343,649454,8,241343,1,2019-05-29,2018-01-01,2018-12-31,2018,364,t,25,,,,0,,,,,,,,,,,,,25,,,,48,,,,73,,1451,,,,0,,,,,,,,,,,,,1487,,,,16891,,,,161,,,16.0000,,200.3200
GLENN MEDICAL CENTER,Government - Federal,Critical Access Hospitals,39.5204670,-122.2081200,1133 W SYCAMORE ST,WILLOWS,,GLENN,TRUE,,0,06021,,,(530) 934-1818,CA,https://data.medicare.gov/resource/xubh-q36u/row-7nst_26uq.zcvx,95988,51306,51306,662484,2,51306,1,2019-12-03,2018-07-01,2019-06-30,2018,364,t,15,,,,0,,,,,,,,,,,,,15,,,,,,,,15,,6300,,,,0,,,,,,,,,,,,,6300,,,,,,,,,,,115.0000,,162.4900
HAYWARD AREA MEMORIAL HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,46.0354000,-91.4884650,11040 N STATE RD 77,HAYWARD,,SAWYER,TRUE,,0,55113,,,(715) 934-4321,WI,https://data.medicare.gov/resource/xubh-q36u/row-m9mb_emjr_zips,54843,521336,521336,653363,2,521336,1,2019-08-29,2018-04-01,2019-03-31,2018,364,t,25,,,,0,,,,,,,,,,,,,25,,,,50,,,,75,,2812,,,,0,,,,,,,,,,,,,3079,,,,16697,,,,418,,,33.0000,,264.2900
THAYER COUNTY HEALTH SERVICES,Government - Local,Critical Access Hospitals,40.1601230,-97.5932670,120 PARK AVE,HEBRON,,THAYER,TRUE,,0,31169,,,(402) 768-6041,NE,https://data.medicare.gov/resource/xubh-q36u/row-b26e~mfmy~67qg,68370,281304,281304,660643,9,281304,1,2019-11-27,2018-07-01,2019-06-30,2018,364,t,19,,,,0,,,,,,,,,,,,,19,,,,,,,,19,,1299,,,,0,,,,,,,,,,,,,1336,,,,,,,,198,,,19.0000,,124.5100
MERCYONE OAKLAND MEDICAL CENTER,Voluntary non-profit - Private,Critical Access Hospitals,41.8345710,-96.4591970,601 EAST SECOND ST,OAKLAND,,BURT,TRUE,,0,31021,,,(402) 685-5601,NE,https://data.medicare.gov/resource/xubh-q36u/row-bi44_haku_5d9v,68045,281321,281321,660644,1,281321,1,2019-11-27,2018-07-01,2019-06-30,2018,364,t,16,,,,0,,,,,,,,,,,,,16,,,,,,,,16,,293,,,,0,,,,,,,,,,,,,293,,,,,,,,50,,,5.0000,,47.5000
AVERA ST ANTHONY'S HOSPITAL,Voluntary non-profit - Church,Critical Access Hospitals,42.4603380,-98.6511180,300 NORTH 2ND ST,O' NEILL,,HOLT,TRUE,,0,31089,,,(402) 336-5131,NE,https://data.medicare.gov/resource/xubh-q36u/row-z9z2~5zkd.wkgh,68763,281329,281329,660645,1,281329,1,2019-11-26,2018-07-01,2019-06-30,2018,364,t,25,,,,0,,,,,,,,,,,,,25,,,,,,,,25,,3590,,,,0,,,,,,,,,,,,,3854,,,,,,,,294,,,42.0000,,202.7900
ST VINCENT RANDOLPH HOSPITAL INC,Voluntary non-profit - Private,Critical Access Hospitals,40.1678770,-84.9703940,473 E GREENVILLE AVE,WINCHESTER,,RANDOLPH,TRUE,,0,18135,,,(765) 584-0004,IN,https://data.medicare.gov/resource/xubh-q36u/row-ziei~9dqq.tkpr,47394,151301,151301,660946,1,151301,1,2019-12-02,2018-07-01,2019-06-30,2018,364,t,25,,,,0,,,,,,,,,,,,,25,,,,,,,,25,,1140,,,,0,,,,,,,,,,,,,1574,,,,,,,,377,,,17.0000,,75.0600
RUSSELLVILLE HOSPITAL,Proprietary,Acute Care Hospitals,34.5111650,-87.7175850,15155 HIGHWAY 43,RUSSELLVILLE,,FRANKLIN,TRUE,,0,01059,,,(256) 332-1611,AL,https://data.medicare.gov/resource/xubh-q36u/row-gwv9.74md~fuic,35653,10158,10158,645962,2,10158,1,2019-04-01,2018-01-01,2018-12-31,2018,364,t,42,7,,,7,,,,,,,,,,,,,49,,,,,,,,49,,5867,1248,,,1248,,,,,,,,,,,,,7115,,,,,,,,307,,48.0000,39.0000,,175.5100
MULESHOE AREA MEDICAL CENTER,Proprietary,Critical Access Hospitals,34.2210290,-102.7284580,708 S 1ST ST,MULESHOE,,BAILEY,TRUE,,0,48017,,,(806) 272-4524,TX,https://data.medicare.gov/resource/xubh-q36u/row-2yhf.nyid~b2dz,79347,451372,451372,644191,4,451372,1,2019-02-28,2017-10-01,2018-09-30,2018,364,t,25,,,,0,,,,,,,,,,,,,25,,,,,,,,25,,896,,,,0,,,,,,,,,,,,,896,,,,,,,,102,,,9.0000,,79.6800
EASTERN PLUMAS HOSPITAL - PORTOLA CAMPUS,Government - Hospital District or Authority,Critical Access Hospitals,39.8061440,-120.4631290,500 FIRST AVENUE,PORTOLA,,PLUMAS,TRUE,,0,06063,,,(530) 832-4277,CA,https://data.medicare.gov/resource/xubh-q36u/row-4uid-vtd8_6vsi,96122,51300,51300,662171,11,51300,1,2019-11-27,2018-07-01,2019-06-30,2018,364,t,9,,,,0,,,,,,,,,,,,,9,,,,66,,,,75,,1122,,,,0,,,,,,,,,,,,,1122,,,,18369,,,,92,,,34.0000,,204.5800
SWIFT COUNTY BENSON HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,45.3147570,-95.6089520,1815 WISCONSIN AVENUE,BENSON,,SWIFT,TRUE,,0,27151,,,(320) 843-4232,MN,https://data.medicare.gov/resource/xubh-q36u/row-zvec-8b67_2ine,56215,241365,241365,651013,8,241365,1,2019-06-04,2018-01-01,2018-12-31,2018,364,t,18,,,,0,,,,,,,,,,,,,18,,,,,,,,18,,817,,,,0,,,,,,,,,,,,,817,,,,,,,,201,,,12.0000,,77.8100
SOUTHWEST HEALTHCARE SERVICES,Voluntary non-profit - Private,Critical Access Hospitals,46.1841910,-103.4067130,802 2ND ST NW,BOWMAN,,BOWMAN,TRUE,,0,38011,,,(701) 523-5265,ND,https://data.medicare.gov/resource/xubh-q36u/row-wb88_am45~hjt8,58623,351313,351313,651048,2,351313,1,2019-06-03,2018-01-01,2018-12-31,2018,364,t,23,,,,0,,,,,,,,,,,,,23,,,,40,,,,63,,1132,,,,0,,,,,,,,,,,,,1132,,,,13422,,,,100,,,13.0000,,113.5000
ST CHARLES MADRAS,Voluntary non-profit - Private,Critical Access Hospitals,44.6373620,-121.1213580,470 NE A STREET,MADRAS,,JEFFERSON,TRUE,,0,41031,,,(541) 475-3882,OR,https://data.medicare.gov/resource/xubh-q36u/row-c49r.t2un~9r3e,97741,381324,381324,651053,2,381324,1,2019-06-03,2018-01-01,2018-12-31,2018,364,t,25,,,,0,,,,,,,,,,,,,25,,,,,,,,25,,2595,,,,0,,,,,,,,,,,,,2841,,,,,,,,261,,,31.0000,,141.3200
CLAIBORNE COUNTY HOSPITAL,Government - Local,Critical Access Hospitals,31.9459920,-90.9853950,123 MCCOMB AVENUE,PORT GIBSON,,CLAIBORNE,FALSE,,0,28021,,,(601) 437-5141,MS,https://data.medicare.gov/resource/xubh-q36u/row-wz4r-hvew~et2i,39150,251320,251320,650593,9,251320,1,2019-05-31,2018-01-01,2018-12-31,2018,364,t,22,,,,0,,,,,,,,,,,,,22,10,,,,,,,32,,2913,,,,0,,,,,,,,,,,,,2913,2445,,,,,,,265,,,36.0000,,100.7000
MCKENZIE COUNTY HEALTHCARE SYSTEMS INC,Voluntary non-profit - Private,Critical Access Hospitals,47.8046820,-103.2713580,709 4TH AVE NE,WATFORD CITY,,MCKENZIE,TRUE,,0,38053,,,(701) 842-3000,ND,https://data.medicare.gov/resource/xubh-q36u/row-ph32.gcyn.yevx,58854,351302,351302,652530,2,351302,3,2018-12-03,2017-07-01,2018-06-30,2017,364,t,24,,,,0,,,,,,,,,,,,,24,,,,47,,,,71,,629,,,,0,,,,,,,,,,,,,629,,,,11793,,,,121,,,7.0000,,128.6000
CALAIS REGIONAL HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,45.1806390,-67.2705210,24 HOSPITAL LANE,CALAIS,,WASHINGTON,TRUE,,0,23029,,,(207) 454-7521,ME,https://data.medicare.gov/resource/xubh-q36u/row-dzvd-m85b~mjvj,4619,201305,201305,648833,2,201305,1,2019-05-17,2018-01-01,2018-12-31,2018,364,t,25,,,,0,,,,,,,,,,,,,25,,,,,,,,25,,3202,,,,0,,,,,,,,,,,,,3202,,,,,,,,108,,,35.0000,,211.4700
COMANCHE COUNTY HOSPITAL,Government - Local,Critical Access Hospitals,37.2679460,-99.3321152,2ND & FRISCO STREET,COLDWATER,,COMANCHE,TRUE,GEOMETRIC_CENTER,1,20033,,,(620) 582-2144,KS,https://data.medicare.gov/resource/xubh-q36u/row-uexi-7hwn_3fpb,67029,171312,171312,648915,9,171312,1,2019-05-29,2018-01-01,2018-12-31,2018,364,t,12,,,,0,,,,,,,,,,,,,12,,,,,,,,12,,915,,,,0,,,,,,,,,,,,,915,,,,,,,,35,,,20.0000,,46.5100
SWEETWATER HOSPITAL ASSOCIATION,Voluntary non-profit - Private,Acute Care Hospitals,35.6002500,-84.4642230,304 WRIGHT ST,SWEETWATER,,MONROE,TRUE,,0,47123,,,(865) 213-8200,TN,https://data.medicare.gov/resource/xubh-q36u/row-5ifh~9uar~z3bc,37874,440084,440084,660313,2,440084,1,2019-11-27,2018-07-01,2019-06-30,2018,364,t,59,,,,0,,,,,,,,,,,,,59,,,,,,,,59,,9215,,,,0,,,,,,,,,,,,,9690,,,,,,,,2921,,,45.0000,,457.3300
EASTLAND MEMORIAL HOSPITAL,Government - Hospital District or Authority,Acute Care Hospitals,32.4004390,-98.8216360,304 S DAUGHERTY,EASTLAND,,EASTLAND,TRUE,,0,48133,,,(254) 629-2601,TX,https://data.medicare.gov/resource/xubh-q36u/row-uts8~dkzz-h488,76448,450411,450411,660325,11,450411,1,2019-12-02,2018-07-01,2019-06-30,2018,364,t,36,,,,0,,,,,,,,,,,,,36,,,,,,,,36,,3250,,,,0,,,,,,,,,,,,,3250,,,,,,,,583,,,24.0000,,159.6400
"PORTER HOSPITAL, INC",Voluntary non-profit - Private,Critical Access Hospitals,43.9994700,-73.1698030,115 PORTER DRIVE,MIDDLEBURY,,ADDISON,TRUE,,0,50001,,,(802) 388-4701,VT,https://data.medicare.gov/resource/xubh-q36u/row-xcfu_sc2r.d4bu,5753,471307,471307,653360,2,471307,5,2019-08-29,2017-10-01,2018-09-30,2018,364,t,25,,,,0,,,,,,,,,,,,,25,,,,,,,,25,374,5582,,,,0,,,,,,,,,,,,,6319,,,,,,,,912,,,69.0000,,458.0000
HAZARD ARH REGIONAL MEDICAL CENTER,Voluntary non-profit - Private,Acute Care Hospitals,37.2790270,-83.2274130,100 MEDICAL CENTER DRIVE,HAZARD,,PERRY,TRUE,,0,21193,,,(606) 439-6600,KY,https://data.medicare.gov/resource/xubh-q36u/row-n5fx-7yrz~ezx5,41701,180029,180029,660558,2,180029,5,2019-11-27,2018-07-01,2019-06-30,2018,364,t,197,32,,,32,,,,,,,,,,,,,229,100,20,,,,,,349,6,47557,7747,,,7747,,,,,,,,,,,,,56103,21248,3560,,,,,,9391,,66.0000,67.0000,9.2400,1108.0900
PLAINS MEMORIAL HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,34.5555910,-102.3157640,310 WEST HALSELL STREET,DIMMITT,,CASTRO,TRUE,,0,48069,,,(806) 647-2191,TX,https://data.medicare.gov/resource/xubh-q36u/row-c55u_ceer_6r3n,79027,451350,451350,641531,11,451350,1,2019-01-14,2017-10-01,2018-09-30,2018,364,t,17,,,,0,,,,,,,,,,,,,17,,,,,,,,17,,1019,,,,0,,,,,,,,,,,,,1019,,,,,,,,24,,,16.0000,,103.7400
ASHLEY COUNTY MEDICAL CENTER,Voluntary non-profit - Private,Critical Access Hospitals,33.1372060,-91.9387800,1015 UNITY ROAD,CROSSETT,,ASHLEY,TRUE,,0,05003,,,(870) 364-4111,AR,https://data.medicare.gov/resource/xubh-q36u/row-gq3d.ak25_8qvw,71635,41323,41323,642385,2,41323,1,2019-01-15,2017-10-01,2018-09-30,2018,364,t,19,6,,,6,,,,,,,,,,,,,25,10,,,,,,,35,,3030,480,,,480,,,,,,,,,,,,,3868,2040,,,,,,,607,,21.0000,42.0000,,285.1600
SPRING VIEW HOSPITAL,Proprietary,Acute Care Hospitals,37.5703250,-85.2593970,320 LORETTO ROAD,LEBANON,,MARION,TRUE,,0,21155,,,(270) 692-5145,KY,https://data.medicare.gov/resource/xubh-q36u/row-ri6m~j23x~rpdu,40033,180024,180024,643767,4,180024,1,2019-02-28,2017-10-01,2018-09-30,2018,364,t,57,6,,,6,,,,,,,,,,,,,63,12,,,,,,,75,,1624,656,,,656,,,,,,,,,,,,,2986,1266,,,,,,,561,,30.0000,13.0000,,220.1200
FRANKLIN MEMORIAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,44.6251150,-70.1612440,111 FRANKLIN HEALTH COMMONS,FARMINGTON,,FRANKLIN,TRUE,,0,23007,,,(207) 778-6031,ME,https://data.medicare.gov/resource/xubh-q36u/row-5fiv_edxs-8b6w,4938,200037,200037,650477,2,200037,1,2019-05-31,2018-10-01,2018-12-31,2019,91,t,43,5,,,5,,,,,,,,,,,,,48,,,,,,,,48,,1469,82,,,82,,,,,,,,,,,,,1701,,,,,,,,121,,18.0000,38.0000,,627.9100
MANIILAQ HEALTH CENTER,Tribal,Critical Access Hospitals,66.8961387,-162.5868698,PO BOX 43,KOTZEBUE,,NORTHWEST ARTIC BOROUGH,TRUE,ROOFTOP,1,02188,,,(907) 442-3321,AK,https://data.medicare.gov/resource/xubh-q36u/row-5pbr_yrqg~qkzd,99752,21310,21310,646530,7,21310,1,2019-03-29,2017-10-01,2018-09-30,2018,364,t,17,,,,0,,,,,,,,,,,,,17,,,,,,,,17,,1448,,,,0,,,,,,,,,,,,,1448,,,,,,,,,,,23.0000,,387.0000
MT EDGECUMBE HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,57.0520100,-135.3563530,222 TONGASS DR,SITKA,,SITKA BOROUGH,TRUE,,0,02220,,,(907) 966-2411,AK,https://data.medicare.gov/resource/xubh-q36u/row-rbyg_8vzk~9w5v,99835,21314,21314,646531,7,21314,1,2019-03-29,2017-10-01,2018-09-30,2018,364,t,25,,,,0,,,,,,,,,,,,,25,,,,,,,,25,,3456,,,,0,,,,,,,,,,,,,3456,,,,,,,,,,,37.0000,,654.0000
WASHINGTON HEALTH SYSTEM GREENE,Voluntary non-profit - Private,Acute Care Hospitals,39.9006050,-80.1739290,350 BONAR AVENUE,WAYNESBURG,,GREENE,TRUE,,0,42059,,,(724) 627-2602,PA,https://data.medicare.gov/resource/xubh-q36u/row-an6b-ia9u-kxvy,15370,390150,390150,662137,2,390150,1,2019-12-02,2018-07-01,2019-06-30,2018,364,t,23,,,,0,,,,,,,,,,,,,23,,,,,,,,23,,2963,,,,0,,,,,,,,,,,,,2963,,,,,,,,969,,,35.0000,,135.0900
LANDMANN-JUNGMAN MEMORIAL HOSPITAL - CAH,Government - Local,Critical Access Hospitals,43.1494940,-97.7281040,600 BILLARS ST,SCOTLAND,,BON HOMME,TRUE,,0,46009,,,(605) 583-2226,SD,https://data.medicare.gov/resource/xubh-q36u/row-h5nm-t8q8-ubs6,57059,431317,431317,662141,2,431317,1,2019-11-26,2018-07-01,2019-06-30,2018,364,t,25,,,,0,,,,,,,,,,,,,25,,,,,,,,25,,533,,,,0,,,,,,,,,,,,,533,,,,,,,,39,,,5.0000,,26.7300
BEAR LAKE MEMORIAL HOSPITAL,Government - Local,Critical Access Hospitals,42.3162420,-111.3008470,164 SOUTH FIFTH STREET,MONTPELIER,,BEAR LAKE,TRUE,,0,16007,,,(208) 847-1630,ID,https://data.medicare.gov/resource/xubh-q36u/row-mggi-9epd.588z,83254,131316,131316,647888,9,131316,1,2019-05-16,2018-01-01,2018-12-31,2018,364,t,21,,,,0,,,,,,,,,,,,,21,,,,36,,32,,89,,1896,,,,0,,,,,,,,,,,,,2016,,,,12165,,11680,,118,,,26.0000,,217.4400
OHIO COUNTY HOSPITAL,Proprietary,Critical Access Hospitals,37.4476490,-86.8964740,1211 OLD MAIN STREET,HARTFORD,,OHIO,TRUE,,0,21183,,,(270) 298-7411,KY,https://data.medicare.gov/resource/xubh-q36u/row-jams.uqap-8mmi,42347,181323,181323,645091,2,181323,1,2019-03-12,2017-10-01,2018-09-30,2018,364,t,21,4,,,4,,,,,,,,,,,,,25,,,,,,,,25,,3362,77,,,77,,,,,,,,,,,,,3439,,,,,,,3376,660,,5.0000,37.0000,,385.4700
KIT CARSON COUNTY MEMORIAL HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,39.3023780,-102.2707110,286 16TH ST,BURLINGTON,,KIT CARSON,TRUE,,0,08063,,,(719) 346-5311,CO,https://data.medicare.gov/resource/xubh-q36u/row-xqzu-2pvu-xrfj,80807,61313,61313,648525,9,61313,1,2019-06-03,2018-01-01,2018-12-31,2018,364,t,19,,,,0,,,,,,,,,,,,,19,,,,,,,,19,,1691,,,,0,,,,,,,,,,,,,1743,,,,,,,,166,,,25.0000,,112.2600
SEDGWICK COUNTY MEMORIAL HOSPITAL,Government - Local,Critical Access Hospitals,40.9937430,-102.2692320,900 CEDAR ST,JULESBURG,,SEDGWICK,FALSE,,0,08115,,,(970) 474-3323,CO,https://data.medicare.gov/resource/xubh-q36u/row-ptjm_bmz6~8mzz,80737,61310,61310,649075,9,61310,1,2019-05-22,2018-01-01,2018-12-31,2018,364,t,9,,,,0,,,,,,,,,,,,,9,,,,,32,,,41,,732,,,,0,,,,,,,,,,,,,756,,,,,11034,,,160,,,23.0000,,98.2100
FRANKLIN MEDICAL CENTER,Government - Hospital District or Authority,Acute Care Hospitals,32.1588800,-91.7052340,2106 LOOP ROAD,WINNSBORO,,FRANKLIN,TRUE,,0,22041,,,(318) 435-9411,LA,https://data.medicare.gov/resource/xubh-q36u/row-pz3b~fmut.fx5c,71295,190140,190140,654726,11,190140,1,2019-10-01,2018-05-01,2019-04-30,2018,364,t,23,6,,,6,,,,,,,,,,,,,29,,8,,,,,,37,,2480,19,,,19,,,,,,,,,,,,,2499,,1268,,,,,,1096,,0.0000,23.0000,,248.3600
SENTARA HALIFAX REGIONAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,36.7134850,-78.9131980,2204 WILBORN AVENUE,SOUTH BOSTON,,HALIFAX,TRUE,,0,51083,,,(434) 517-3100,VA,https://data.medicare.gov/resource/xubh-q36u/row-dy4f.r3ep-3mc5,24592,490013,490013,654945,2,490013,5,2019-10-15,2018-01-01,2018-12-31,2018,364,t,95,12,,,12,,,,,,,,,,,,,107,,,,,,,,107,5,11555,3019,,,3019,,,,,,,,,,,,,15298,,,,,,,,,,69.0000,39.0000,,496.1100
ASPIRUS IRONWOOD HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,46.4781930,-90.1046890,N10561 GRAND VIEW LANE,IRONWOOD,,GOGEBIC,TRUE,,0,26053,,,(906) 932-2525,MI,https://data.medicare.gov/resource/xubh-q36u/row-kai4_hwh9~ugv4,49938,231333,231333,660107,2,231333,1,2019-11-26,2018-07-01,2019-06-30,2018,364,t,20,5,,,5,,,,,,,,,,,,,25,,,,,,,,25,,3022,256,,,256,,,,,,,,,,,,,3507,,,,,,,,123,,14.0000,38.0000,,283.6200
REFUGIO COUNTY MEMORIAL HOSPITAL,Government - Hospital District or Authority,Critical Access Hospitals,28.3064870,-97.2794390,107 SWIFT STREET,REFUGIO,,REFUGIO,TRUE,,0,48391,,,(361) 526-2321,TX,https://data.medicare.gov/resource/xubh-q36u/row-2im8~3t6u.ez3t,78377,451317,451317,649504,11,451317,1,2019-05-29,2018-01-01,2018-12-31,2018,364,t,20,,,,0,,,,,,,,,,,,,20,,,,,,,,20,,603,,,,0,,,,,,,,,,,,,603,,,,,,,,56,,,8.0000,,135.4200
MARSHFIELD MEDICAL CENTER - NEILLSVILLE,Voluntary non-profit - Church,Critical Access Hospitals,44.5570460,-90.6069090,216 SUNSET PLACE,NEILLSVILLE,,CLARK,TRUE,,0,55019,,,(715) 743-3101,WI,https://data.medicare.gov/resource/xubh-q36u/row-cc3y~6r3u.7b3a,54456,521323,521323,649525,2,521323,1,2019-05-28,2018-01-01,2018-12-31,2018,364,t,25,,,,0,,,,,,,,,,,,,25,,,,,,,,25,,949,,,,0,,,,,,,,,,,,,949,,,,,,,,245,,,10.0000,,188.5400
LOGAN COUNTY HOSPITAL,Government - Local,Critical Access Hospitals,39.1269150,-100.8622790,211 CHERRY AVENUE,OAKLEY,,LOGAN,TRUE,,0,20109,,,(785) 672-3211,KS,https://data.medicare.gov/resource/xubh-q36u/row-wi6i-q2iz.xd59,67748,171326,171326,649592,9,171326,1,2019-06-03,2018-01-01,2018-12-31,2018,364,t,25,,,,0,,,,,,,,,,,,,25,,,,,,45,,70,,1692,,,,0,,,,,,,,,,,,,1692,,,,,,11401,,25,,,18.0000,,122.2700
TREGO COUNTY LEMKE MEMORIAL HOSPITAL,Government - Local,Critical Access Hospitals,39.0272190,-99.8716200,320 THIRTEENTH ST,WA KEENEY,,TREGO,TRUE,,0,20195,,,(785) 743-2182,KS,https://data.medicare.gov/resource/xubh-q36u/row-y4gc.24zy.c8cd,67672,171355,171355,649596,9,171355,1,2019-06-03,2018-01-01,2018-12-31,2018,364,t,25,,,,0,,,,,,,,,,,,,25,,,,,,37,,62,,3914,,,,0,,,,,,,,,,,,,3914,,,,,,12535,,43,,,43.0000,,161.3900
BENNETT COUNTY HOSPITAL AND NURSING HOME - CAH,Voluntary non-profit - Other,Critical Access Hospitals,43.1691630,-101.7266636,102 MAJOR ALLEN   POST OFFICE BOX 70D,MARTIN,,BENNETT,TRUE,RANGE_INTERPOLATED,1,46007,,,(605) 685-6622,SD,https://data.medicare.gov/resource/xubh-q36u/row-q2mg~bq2u~fi2w,57551,431314,431314,649823,2,431314,1,2019-06-03,2018-01-01,2018-12-31,2018,364,t,14,,,,0,,,,,,,,,,,,,14,,,,,,48,,62,,1140,,,,0,,,,,,,,,,,,,1140,,,,,,13226,,103,,,22.0000,,100.3500
STEPHENS MEMORIAL HOSPITAL,Voluntary non-profit - Private,Critical Access Hospitals,44.2095390,-70.5329780,181 MAIN STREET,NORWAY,,OXFORD,TRUE,,0,23017,,,(207) 743-5933,ME,https://data.medicare.gov/resource/xubh-q36u/row-sfne.bccg~sezn,4268,201315,201315,650826,2,201315,1,2019-06-28,2018-10-01,2018-12-31,2019,91,t,21,4,,,4,,,,,,,,,,,,,25,,,,,,,,25,,896,148,,,148,,,,,,,,,,,,,1129,,,,,,,,120,,40.0000,49.0000,0.2900,437.0000
RICHLAND MEMORIAL HOSPITAL,Voluntary non-profit - Private,Acute Care Hospitals,38.7350210,-88.0771250,800 EAST LOCUST,OLNEY,,RICHLAND,TRUE,,0,17159,,,(618) 395-2131,IL,https://data.medicare.gov/resource/xubh-q36u/row-eyzt.rcvc_7m7k,62450,140147,140147,650123,2,140147,1,2019-05-31,2018-01-01,2018-12-31,2018,364,t,39,8,,,8,,,,,,,,,,,,,47,,,,34,,,1,82,,4190,404,,,404,,,,,,,,,,,,,4988,,,,9478,,,1890,1275,,13.0000,29.0000,,466.0600
